ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A8536599,45,6036224,129,,,POINT,751205,,Data9,Data5,CYCLE,,Data6,1898,,,,,,m/s,,,,three,Data9,Test Data 77,16
A8127846,482,33215927,216,,,POINT,536525,,Data2,Data7,,1,Data9,9965,,H,,,,m/s,,,,four,Data8,Test Data 45,90
A8638744,233,38031609,202,,,POINT,245737,,Data4,Data4,CYCLE,,Data8,2336,,,9001,,,m/s,,,,one,Data1,Test Data 24,33
A8466991,845,4259429,126,,,POINT,465955,,Data7,Data7,,,Data2,5552,,,9001,,,m/s,,,,seven,Data7,Test Data 54,98
A9071452,167,63121354,235,,,POINT,958893,,Data2,Data6,,1,Data3,3034,,H,,,,m/s,,,,zero,Data2,Test Data 66,52
A2386226,64,93984882,193,,,POINT,789765,,Data8,Data1,,1,Data4,1619,,,0,,,m/s,,,,,Data4,Test Data 14,98
A4454769,960,97879152,27,,,POINT,593342,,Data4,Data6,CYCLE,,Data1,9905,,H,6001,,,m/s,,,,,Data5,Test Data 39,69
A9395622,497,4074807,24,,,POINT,143647,,Data4,Data8,CYCLE,1,Data8,8194,,H,UNSPECIFIED,,,m/s,,,,zero,Data6,Test Data 32,7
A5385498,873,70196101,244,,,POINT,440737,,Data7,Data8,,,Data2,5869,,,UNSPECIFIED,,,m/s,,,,five,Data7,Test Data 31,5
A5543930,626,16910415,153,,,POINT,419641,,Data8,Data7,,,Data1,1433,,,,,,m/s,,,,zero,Data9,Test Data 47,1
A1224030,636,43791616,67,,,POINT,490176,,Data9,Data2,,1,Data5,2698,,H,0,,,m/s,,,,,Data1,Test Data 4,17
A4165575,295,14740019,118,,,POINT,773073,,Data3,Data5,,,Data2,8903,,,UNSPECIFIED,,,m/s,,,,,Data7,Test Data 66,23
A1496466,894,31473439,25,,,POINT,589750,,Data2,Data9,,,Data1,2885,,H,9001,,,m/s,,,,five,Data1,Test Data 48,37
A7561047,970,33196649,87,,,POINT,71294,,Data9,Data1,CYCLE,,Data4,9769,,,0,,,m/s,,,,one,Data9,Test Data 85,23
A7970190,189,41326235,63,,,POINT,941645,,Data2,Data9,,1,Data3,8280,,H,,,,m/s,,,,five,Data5,Test Data 84,61
A7202415,251,69308691,233,,,POINT,545078,,Data1,Data9,CYCLE,1,Data8,9409,,H,,,,m/s,,,,seven,Data4,Test Data 12,65
A8985140,741,19275123,231,,,POINT,275267,,Data1,Data9,CYCLE,1,Data9,9567,,,,,,m/s,,,,one,Data8,Test Data 58,39
A7653590,73,77298324,85,,,POINT,579211,,Data2,Data9,CYCLE,1,Data3,7247,,,UNSPECIFIED,,,m/s,,,,seven,Data7,Test Data 66,86
