ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A3547204,816,43527607,136,,,POINT,171519,,Data1,Data5,CYCLE,,Data4,549,,H,UNSPECIFIED,,,m/s,,,,,Data3,Test Data 59,77
A3592283,169,69208660,161,,,POINT,132840,,Data4,Data9,,,Data1,124,,,,,,m/s,,,,six,Data1,Test Data 61,57
A8140359,671,40356969,238,,,POINT,866033,,Data1,Data9,,1,Data3,9387,,H,9001,,,m/s,,,,two,Data8,Test Data 70,4
A3985249,742,76816376,32,,,POINT,690850,,Data6,Data7,,,Data3,7000,,,0,,,m/s,,,,two,Data6,Test Data 28,16
A8435716,435,83581808,60,,,POINT,211264,,Data8,Data6,,,Data2,3123,,H,,,,m/s,,,,seven,Data6,Test Data 30,18
A2994009,869,78147593,115,,,POINT,792332,,Data6,Data8,,1,Data4,5604,,H,,,,m/s,,,,one,Data7,Test Data 24,31
A3135360,240,11719796,65,,,POINT,732175,,Data9,Data1,,1,Data2,2844,,H,,,,m/s,,,,four,Data5,Test Data 9,44
A882784,272,76560373,144,,,POINT,235372,,Data6,Data5,CYCLE,1,Data2,2559,,H,6001,,,m/s,,,,zero,Data8,Test Data 32,93
A5561005,30,85776232,195,,,POINT,53559,,Data9,Data7,CYCLE,,Data5,5885,,,,,,m/s,,,,,Data9,Test Data 39,9
A2362603,182,41825240,24,,,POINT,755296,,Data1,Data5,,1,Data8,6483,,H,,,,m/s,,,,three,Data6,Test Data 51,16
A7477753,672,15632311,185,,,POINT,115477,,Data2,Data6,,,Data8,3837,,,9001,,,m/s,,,,,Data2,Test Data 46,50
A8970717,556,93882899,115,,,POINT,933663,,Data1,Data3,CYCLE,,Data6,1484,,H,9001,,,m/s,,,,two,Data7,Test Data 20,54
A840734,820,55184332,248,,,POINT,919378,,Data8,Data1,,,Data7,2116,,H,0,,,m/s,,,,one,Data4,Test Data 46,55
A3846104,9,74017258,76,,,POINT,619688,,Data3,Data8,,1,Data1,4538,,,0,,,m/s,,,,three,Data7,Test Data 84,98
A1737118,432,99334467,122,,,POINT,471334,,Data5,Data1,CYCLE,,Data6,9174,,,6001,,,m/s,,,,four,Data7,Test Data 38,89
A8669638,757,18318830,27,,,POINT,167428,,Data6,Data4,,,Data5,1931,,H,0,,,m/s,,,,two,Data6,Test Data 45,36
A3294826,77,26093392,181,,,POINT,39774,,Data5,Data8,,,Data8,8830,,,,,,m/s,,,,,Data5,Test Data 27,95
A2759022,93,48467201,234,,,POINT,87620,,Data8,Data1,,,Data8,5118,,H,,,,m/s,,,,,Data5,Test Data 10,5
A9559086,402,70319572,126,,,POINT,959570,,Data6,Data7,CYCLE,1,Data6,6054,,H,6001,,,m/s,,,,,Data7,Test Data 59,15
A6394822,765,35194436,166,,,POINT,13145,,Data2,Data6,,,Data7,3205,,H,,,,m/s,,,,one,Data5,Test Data 86,45
A8663510,158,88585075,71,,,POINT,436172,,Data2,Data2,CYCLE,,Data7,7465,,,,,,m/s,,,,,Data4,Test Data 51,6
A2249826,602,65041180,144,,,POINT,54803,,Data7,Data8,,1,Data8,7451,,H,6001,,,m/s,,,,four,Data9,Test Data 25,75
A9233760,507,54746120,154,,,POINT,779552,,Data8,Data9,,1,Data7,9122,,H,,,,m/s,,,,five,Data3,Test Data 82,58
A3313874,587,89478534,161,,,POINT,678819,,Data9,Data5,,1,Data7,2263,,,UNSPECIFIED,,,m/s,,,,five,Data7,Test Data 36,34
A4590868,235,46392690,120,,,POINT,86189,,Data2,Data4,,,Data5,2114,,,,,,m/s,,,,one,Data1,Test Data 19,76
A8711216,354,71062063,90,,,POINT,69781,,Data3,Data8,CYCLE,,Data1,9289,,,9001,,,m/s,,,,five,Data4,Test Data 61,94
A7816137,802,57031829,82,,,POINT,207524,,Data2,Data9,,,Data4,3,,H,,,,m/s,,,,six,Data4,Test Data 22,61
A4839430,60,98302743,69,,,POINT,705418,,Data8,Data4,,,Data3,9879,,H,,,,m/s,,,,five,Data3,Test Data 24,86
A5488078,423,39367625,18,,,POINT,946220,,Data4,Data5,CYCLE,,Data7,1074,,H,9001,,,m/s,,,,five,Data2,Test Data 32,9
A5542517,114,25134349,173,,,POINT,536178,,Data6,Data6,,,Data3,2543,,,0,,,m/s,,,,,Data3,Test Data 18,21
A8926474,343,99994202,22,,,POINT,106453,,Data3,Data2,CYCLE,1,Data2,6058,,,,,,m/s,,,,,Data8,Test Data 22,14
A9830502,195,18074464,13,,,POINT,655886,,Data8,Data8,,,Data2,8257,,H,0,,,m/s,,,,one,Data8,Test Data 48,8
A1930820,936,81235338,189,,,POINT,566273,,Data4,Data2,,,Data2,6094,,H,,,,m/s,,,,four,Data4,Test Data 20,64
A4758287,984,95920827,182,,,POINT,974486,,Data7,Data3,CYCLE,1,Data7,7454,,,,,,m/s,,,,six,Data5,Test Data 68,26
A3959625,54,20992478,211,,,POINT,659617,,Data8,Data5,CYCLE,1,Data9,1412,,H,,,,m/s,,,,,Data1,Test Data 84,59
A6463371,986,59221295,159,,,POINT,543562,,Data2,Data1,CYCLE,,Data1,3217,,,,,,m/s,,,,,Data6,Test Data 70,48
A6584558,93,97998944,178,,,POINT,95844,,Data6,Data1,,1,Data7,2714,,,0,,,m/s,,,,zero,Data2,Test Data 71,67
A9672403,324,1505551,70,,,POINT,46616,,Data1,Data3,CYCLE,,Data6,2325,,,UNSPECIFIED,,,m/s,,,,,Data3,Test Data 84,13
A5110363,172,2439066,69,,,POINT,235729,,Data3,Data4,CYCLE,1,Data1,7062,,H,UNSPECIFIED,,,m/s,,,,three,Data8,Test Data 6,48
A8796850,448,89701920,91,,,POINT,595008,,Data9,Data5,,1,Data3,4769,,H,6001,,,m/s,,,,,Data5,Test Data 68,2
A6257416,671,33422256,168,,,POINT,867819,,Data8,Data8,,1,Data6,8726,,,UNSPECIFIED,,,m/s,,,,,Data9,Test Data 45,17
A7364683,844,19399859,112,,,POINT,515407,,Data7,Data4,,1,Data8,4220,,H,0,,,m/s,,,,one,Data4,Test Data 84,90
A6544258,9,60029002,53,,,POINT,603632,,Data2,Data4,,,Data6,4367,,H,0,,,m/s,,,,six,Data1,Test Data 53,95
