ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A7012170,249,16545343,250,,,POINT,220567,,Data2,Data5,CYCLE,1,Data9,8389,,H,,,,m/s,,,,three,Data3,Test Data 38,74
A3912559,427,53115023,16,,,POINT,611666,,Data6,Data9,CYCLE,1,Data3,4821,,H,UNSPECIFIED,,,m/s,,,,six,Data8,Test Data 59,75
A3074606,690,18383161,195,,,POINT,390069,,Data9,Data4,,,Data7,1125,,H,0,,,m/s,,,,three,Data9,Test Data 40,42
A1073480,816,446951,127,,,POINT,17327,,Data5,Data9,,,Data9,6436,,,,,,m/s,,,,four,Data9,Test Data 73,88
A4851672,782,97688039,62,,,POINT,104409,,Data2,Data7,,,Data6,8093,,H,0,,,m/s,,,,two,Data5,Test Data 63,99
A7492428,843,57991953,249,,,POINT,233717,,Data6,Data9,,,Data9,8546,,H,9001,,,m/s,,,,zero,Data7,Test Data 82,60
A3376453,773,78745888,85,,,POINT,280607,,Data5,Data4,,1,Data9,5248,,H,0,,,m/s,,,,,Data8,Test Data 84,73
A9458433,580,45298466,206,,,POINT,110541,,Data5,Data6,CYCLE,,Data6,7836,,,,,,m/s,,,,six,Data4,Test Data 92,48
A425987,613,46581079,195,,,POINT,789947,,Data3,Data8,CYCLE,1,Data1,6640,,H,,,,m/s,,,,,Data7,Test Data 63,74
A8559978,566,80287351,218,,,POINT,240687,,Data8,Data2,CYCLE,,Data2,2769,,H,,,,m/s,,,,zero,Data8,Test Data 37,44
A4170312,544,81547216,92,,,POINT,118559,,Data9,Data9,,,Data8,4242,,H,0,,,m/s,,,,one,Data8,Test Data 20,44
A5159981,373,36742799,197,,,POINT,893260,,Data3,Data3,,1,Data9,8252,,,6001,,,m/s,,,,two,Data8,Test Data 12,65
A8385165,75,15119170,174,,,POINT,104174,,Data7,Data1,CYCLE,1,Data3,1756,,,UNSPECIFIED,,,m/s,,,,five,Data1,Test Data 2,33
A2488335,925,4461308,128,,,POINT,644201,,Data2,Data6,,1,Data6,9429,,H,6001,,,m/s,,,,,Data2,Test Data 32,35
A348096,338,20124613,190,,,POINT,259640,,Data9,Data2,,1,Data7,7170,,H,,,,m/s,,,,five,Data3,Test Data 77,44
A5673642,309,5585007,29,,,POINT,759753,,Data2,Data6,,,Data8,1322,,H,,,,m/s,,,,four,Data2,Test Data 63,55
A9218111,433,57859948,238,,,POINT,200510,,Data9,Data8,,,Data3,9869,,,UNSPECIFIED,,,m/s,,,,three,Data1,Test Data 9,41
A9663946,570,72080673,210,,,POINT,791956,,Data6,Data9,,1,Data4,6579,,H,,,,m/s,,,,two,Data3,Test Data 38,80
A2857656,573,61753114,69,,,POINT,431965,,Data3,Data1,,1,Data8,8911,,,0,,,m/s,,,,one,Data4,Test Data 59,9
A9685252,248,81025452,19,,,POINT,379315,,Data6,Data1,,1,Data2,5151,,,,,,m/s,,,,,Data4,Test Data 78,44
A665330,168,40847897,9,,,POINT,319750,,Data2,Data4,,1,Data1,8396,,,9001,,,m/s,,,,zero,Data7,Test Data 70,72
A1444276,987,90813572,241,,,POINT,436231,,Data9,Data7,,,Data8,3816,,,0,,,m/s,,,,six,Data3,Test Data 87,57
A5743571,883,71803310,227,,,POINT,110379,,Data3,Data8,,,Data5,41,,,0,,,m/s,,,,five,Data4,Test Data 45,35
A5614982,547,54620494,186,,,POINT,882703,,Data7,Data4,,1,Data2,3191,,,,,,m/s,,,,seven,Data2,Test Data 60,14
A239932,838,79345385,103,,,POINT,300914,,Data3,Data7,,1,Data9,2525,,,9001,,,m/s,,,,,Data9,Test Data 44,98
A9622757,685,66474183,24,,,POINT,901422,,Data1,Data1,,,Data7,9368,,,9001,,,m/s,,,,seven,Data2,Test Data 90,56
A7342947,714,6639346,29,,,POINT,421173,,Data6,Data1,,,Data2,8056,,,0,,,m/s,,,,,Data3,Test Data 76,55
A138373,534,40145049,112,,,POINT,312074,,Data1,Data7,,,Data2,8212,,H,,,,m/s,,,,,Data7,Test Data 27,94
A2469662,679,49630619,221,,,POINT,647340,,Data7,Data7,,,Data7,1168,,,UNSPECIFIED,,,m/s,,,,,Data2,Test Data 40,31
A9281843,50,91344450,235,,,POINT,366740,,Data2,Data8,,1,Data3,9584,,,,,,m/s,,,,seven,Data2,Test Data 83,66
A1790883,841,25923230,234,,,POINT,665992,,Data3,Data6,,1,Data7,834,,H,,,,m/s,,,,four,Data9,Test Data 76,58
A8672928,530,4315490,40,,,POINT,375798,,Data7,Data4,CYCLE,,Data2,3139,,,9001,,,m/s,,,,,Data9,Test Data 47,24
A5651925,148,63857613,186,,,POINT,716073,,Data6,Data8,,,Data9,7374,,,6001,,,m/s,,,,one,Data1,Test Data 56,72
A8798711,587,50835858,116,,,POINT,262871,,Data3,Data3,,,Data6,7302,,H,0,,,m/s,,,,five,Data6,Test Data 53,37
A667106,904,6518318,104,,,POINT,37241,,Data9,Data4,,1,Data7,2219,,,9001,,,m/s,,,,,Data9,Test Data 33,39
A3216887,58,85613357,170,,,POINT,231347,,Data6,Data5,CYCLE,,Data2,9779,,H,9001,,,m/s,,,,zero,Data9,Test Data 31,1
A9895516,727,59401099,118,,,POINT,597728,,Data3,Data5,CYCLE,1,Data8,6862,,H,0,,,m/s,,,,zero,Data7,Test Data 20,63
A5067518,110,27662999,77,,,POINT,749657,,Data8,Data9,,1,Data6,7724,,,UNSPECIFIED,,,m/s,,,,zero,Data8,Test Data 7,91
A4482666,411,14142226,126,,,POINT,134062,,Data6,Data1,,,Data1,8843,,H,0,,,m/s,,,,six,Data6,Test Data 64,94
A1965755,373,45950157,240,,,POINT,91702,,Data5,Data3,,,Data1,5021,,,0,,,m/s,,,,four,Data1,Test Data 58,91
A8555450,772,27677091,31,,,POINT,677048,,Data8,Data3,,1,Data3,8098,,,0,,,m/s,,,,,Data7,Test Data 16,14
A1491057,232,90501386,194,,,POINT,829410,,Data7,Data6,CYCLE,,Data7,5496,,,0,,,m/s,,,,six,Data5,Test Data 6,90
A858154,7,30701062,167,,,POINT,460812,,Data6,Data7,CYCLE,1,Data3,3854,,H,,,,m/s,,,,five,Data7,Test Data 24,69
A1425753,218,95996424,28,,,POINT,763051,,Data1,Data4,CYCLE,1,Data7,5019,,H,,,,m/s,,,,,Data1,Test Data 78,62
A2785894,306,5276020,157,,,POINT,265350,,Data5,Data1,CYCLE,,Data4,5000,,,,,,m/s,,,,,Data9,Test Data 17,64
A4650010,563,7070589,138,,,POINT,362910,,Data7,Data9,CYCLE,,Data5,460,,H,6001,,,m/s,,,,seven,Data7,Test Data 89,23
A9136174,707,46149153,26,,,POINT,156337,,Data8,Data1,,,Data9,4737,,H,UNSPECIFIED,,,m/s,,,,seven,Data1,Test Data 59,63
A5548342,403,63129458,116,,,POINT,753883,,Data6,Data3,,,Data4,8541,,H,9001,,,m/s,,,,seven,Data7,Test Data 78,22
A5389878,919,85278129,220,,,POINT,410066,,Data2,Data8,,1,Data5,9493,,,6001,,,m/s,,,,five,Data9,Test Data 9,5
A7748779,225,68087431,212,,,POINT,703282,,Data9,Data1,CYCLE,,Data9,4528,,H,UNSPECIFIED,,,m/s,,,,three,Data6,Test Data 33,65
A5412669,463,20395860,95,,,POINT,583255,,Data3,Data7,,,Data7,9306,,,6001,,,m/s,,,,one,Data5,Test Data 96,52
A7211446,586,3550274,32,,,POINT,370736,,Data1,Data4,,,Data1,9916,,,0,,,m/s,,,,,Data5,Test Data 57,5
A9174512,655,17565014,123,,,POINT,47925,,Data8,Data8,,1,Data2,9179,,,UNSPECIFIED,,,m/s,,,,six,Data4,Test Data 76,80
A5026295,670,82264685,44,,,POINT,468988,,Data1,Data3,,1,Data1,9104,,H,UNSPECIFIED,,,m/s,,,,six,Data9,Test Data 65,65
A7628589,960,1687160,173,,,POINT,786644,,Data1,Data1,,1,Data7,328,,,6001,,,m/s,,,,five,Data6,Test Data 21,14
A6331421,863,49274836,189,,,POINT,836141,,Data8,Data8,CYCLE,1,Data5,48,,,,,,m/s,,,,,Data4,Test Data 90,48
A7078701,589,16608484,47,,,POINT,127885,,Data5,Data9,CYCLE,,Data7,6930,,H,9001,,,m/s,,,,,Data3,Test Data 39,8
A2470175,522,73292528,61,,,POINT,393849,,Data5,Data3,,,Data2,3643,,H,6001,,,m/s,,,,,Data3,Test Data 79,73
A6016748,482,66815916,94,,,POINT,74390,,Data2,Data3,CYCLE,1,Data4,6896,,H,0,,,m/s,,,,three,Data5,Test Data 58,44
A9618727,271,96644531,69,,,POINT,43236,,Data7,Data1,,,Data9,8965,,H,0,,,m/s,,,,six,Data5,Test Data 35,34
A1975506,400,43117016,188,,,POINT,824309,,Data5,Data6,,1,Data7,5915,,H,,,,m/s,,,,seven,Data4,Test Data 69,42
A9286610,132,58938802,177,,,POINT,492217,,Data6,Data9,CYCLE,,Data5,5583,,H,,,,m/s,,,,four,Data1,Test Data 17,55
A3525017,100,69218665,130,,,POINT,213716,,Data4,Data2,CYCLE,1,Data7,7406,,H,0,,,m/s,,,,zero,Data2,Test Data 53,74
A5424281,981,48537872,18,,,POINT,156032,,Data9,Data6,,,Data7,9298,,H,6001,,,m/s,,,,zero,Data5,Test Data 10,74
