ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A680548,741,62134372,25,,,POINT,157437,,Data5,Data2,,1,Data6,2699,,H,UNSPECIFIED,,,m/s,,,,three,Data4,Test Data 87,39
A2483490,105,13679436,226,,,POINT,345646,,Data2,Data4,,,Data4,1175,,H,UNSPECIFIED,,,m/s,,,,one,Data2,Test Data 58,47
A615707,882,49871181,155,,,POINT,984649,,Data1,Data9,,1,Data7,5839,,H,,,,m/s,,,,five,Data2,Test Data 57,56
A7477547,953,44019134,35,,,POINT,359830,,Data2,Data1,,,Data9,8209,,H,,,,m/s,,,,,Data9,Test Data 12,68
A8716166,508,61037533,210,,,POINT,83728,,Data4,Data4,,,Data8,5400,,,,,,m/s,,,,,Data4,Test Data 64,16
A3737638,636,21124852,129,,,POINT,238848,,Data7,Data8,,1,Data5,6619,,,,,,m/s,,,,,Data3,Test Data 39,42
A1801518,358,8913300,30,,,POINT,798437,,Data9,Data5,,1,Data5,5412,,,6001,,,m/s,,,,zero,Data1,Test Data 5,99
A2630396,242,69468140,1,,,POINT,667745,,Data7,Data2,CYCLE,,Data9,1347,,,6001,,,m/s,,,,,Data3,Test Data 3,92
A4257439,970,87823257,209,,,POINT,689897,,Data7,Data4,CYCLE,1,Data9,280,,H,0,,,m/s,,,,,Data9,Test Data 33,80
A7999354,491,2748650,125,,,POINT,892230,,Data8,Data6,CYCLE,1,Data7,8052,,,6001,,,m/s,,,,,Data5,Test Data 43,72
A4739432,201,20648146,12,,,POINT,47901,,Data4,Data2,,1,Data8,886,,H,0,,,m/s,,,,zero,Data7,Test Data 65,3
A4877592,903,44272300,59,,,POINT,358764,,Data7,Data9,CYCLE,1,Data8,2180,,,UNSPECIFIED,,,m/s,,,,,Data7,Test Data 47,74
A131986,590,34475316,143,,,POINT,571751,,Data5,Data9,,,Data8,7461,,,UNSPECIFIED,,,m/s,,,,two,Data8,Test Data 9,49
A3651660,437,53786143,225,,,POINT,276033,,Data7,Data5,,1,Data6,7278,,,9001,,,m/s,,,,six,Data5,Test Data 35,36
A9399244,356,45561301,90,,,POINT,999634,,Data8,Data9,CYCLE,1,Data6,6863,,,0,,,m/s,,,,,Data7,Test Data 39,78
A4605930,541,42341392,231,,,POINT,186571,,Data1,Data3,,1,Data8,3986,,,9001,,,m/s,,,,zero,Data3,Test Data 57,12
A5040750,824,60319484,137,,,POINT,856673,,Data5,Data3,CYCLE,,Data3,1056,,H,9001,,,m/s,,,,,Data1,Test Data 32,71
A9547130,545,31776591,169,,,POINT,700635,,Data1,Data5,,,Data1,1351,,H,UNSPECIFIED,,,m/s,,,,two,Data3,Test Data 92,80
A6130904,464,96829469,183,,,POINT,856765,,Data7,Data7,,1,Data8,1392,,H,0,,,m/s,,,,five,Data4,Test Data 88,51
A2525527,517,33397773,115,,,POINT,674085,,Data1,Data2,,1,Data5,3377,,,0,,,m/s,,,,three,Data2,Test Data 50,28
A2907669,698,38344658,7,,,POINT,376923,,Data2,Data3,CYCLE,1,Data6,6538,,H,9001,,,m/s,,,,,Data1,Test Data 34,45
A4585557,743,12222926,185,,,POINT,322227,,Data4,Data4,,,Data2,6528,,,9001,,,m/s,,,,,Data9,Test Data 41,50
A1247667,24,92576706,108,,,POINT,977623,,Data1,Data5,,,Data9,8705,,H,0,,,m/s,,,,,Data8,Test Data 87,22
A1063812,56,82888987,8,,,POINT,493279,,Data1,Data1,,,Data1,7482,,,0,,,m/s,,,,three,Data4,Test Data 98,50
A2361804,337,8403098,53,,,POINT,189151,,Data6,Data2,,1,Data4,2023,,,,,,m/s,,,,three,Data2,Test Data 4,97
A3803922,826,95815385,227,,,POINT,584792,,Data5,Data1,,1,Data2,6629,,H,,,,m/s,,,,four,Data4,Test Data 63,56
A905938,691,6078223,21,,,POINT,726839,,Data6,Data7,,,Data6,4625,,H,0,,,m/s,,,,seven,Data2,Test Data 3,4
A5196398,340,51300659,109,,,POINT,992992,,Data9,Data7,,,Data6,1127,,H,,,,m/s,,,,,Data6,Test Data 31,44
A3953519,348,78423349,81,,,POINT,794576,,Data2,Data3,,1,Data1,4359,,H,,,,m/s,,,,three,Data2,Test Data 83,80
A8867403,40,32725785,246,,,POINT,599786,,Data2,Data6,,,Data3,3195,,,,,,m/s,,,,zero,Data1,Test Data 49,77
A1993376,327,93166750,187,,,POINT,34218,,Data1,Data1,,,Data5,7200,,,6001,,,m/s,,,,,Data8,Test Data 79,90
A3807169,405,67993666,80,,,POINT,197775,,Data5,Data6,,1,Data5,8401,,H,9001,,,m/s,,,,,Data8,Test Data 38,59
A2045806,587,36279343,53,,,POINT,777610,,Data8,Data5,,1,Data3,6420,,,,,,m/s,,,,one,Data3,Test Data 52,57
A7692311,664,52142661,109,,,POINT,432302,,Data4,Data9,CYCLE,1,Data8,892,,H,UNSPECIFIED,,,m/s,,,,six,Data8,Test Data 2,94
A8622727,915,66689940,73,,,POINT,498660,,Data4,Data1,,1,Data4,6015,,H,,,,m/s,,,,two,Data4,Test Data 1,64
