ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A8106772,359,21433935,225,,,POINT,387372,,Data3,Data3,,,Data7,9715,,,,,,m/s,,,,one,Data6,Test Data 25,29
A5288257,548,34415676,50,,,POINT,347949,,Data9,Data3,CYCLE,1,Data7,8715,,,6001,,,m/s,,,,four,Data3,Test Data 56,28
A4048421,238,83277616,160,,,POINT,836037,,Data3,Data1,,,Data6,5449,,,0,,,m/s,,,,one,Data7,Test Data 69,62
A4046264,798,64604069,19,,,POINT,552409,,Data1,Data5,CYCLE,,Data4,1861,,H,,,,m/s,,,,two,Data7,Test Data 27,88
A7572231,672,35796817,236,,,POINT,598577,,Data6,Data5,CYCLE,1,Data6,9929,,,UNSPECIFIED,,,m/s,,,,,Data2,Test Data 52,20
A7613014,183,43814239,112,,,POINT,265553,,Data6,Data7,CYCLE,,Data3,1504,,,UNSPECIFIED,,,m/s,,,,six,Data3,Test Data 56,68
A4529458,841,28946885,144,,,POINT,150181,,Data7,Data6,,1,Data4,185,,,,,,m/s,,,,seven,Data4,Test Data 85,71
A3599787,474,54058523,91,,,POINT,49694,,Data8,Data8,,1,Data7,2812,,H,,,,m/s,,,,two,Data4,Test Data 96,79
A5354703,395,25612544,5,,,POINT,74576,,Data7,Data6,,1,Data1,453,,,,,,m/s,,,,seven,Data7,Test Data 72,76
A4394723,908,43705682,30,,,POINT,929248,,Data6,Data9,,,Data2,8223,,H,UNSPECIFIED,,,m/s,,,,zero,Data5,Test Data 98,95
A2014430,710,13077613,52,,,POINT,716369,,Data7,Data9,,1,Data3,2318,,H,,,,m/s,,,,seven,Data5,Test Data 50,14
A7114594,606,61441522,141,,,POINT,195947,,Data8,Data8,CYCLE,,Data9,9874,,H,9001,,,m/s,,,,,Data9,Test Data 6,79
A9499440,203,5540918,133,,,POINT,3138,,Data3,Data7,,,Data3,8329,,,9001,,,m/s,,,,four,Data6,Test Data 78,10
A3675063,404,47642800,152,,,POINT,276170,,Data2,Data4,,1,Data8,1016,,,UNSPECIFIED,,,m/s,,,,,Data3,Test Data 49,88
A8224765,612,97350033,57,,,POINT,116976,,Data8,Data8,,1,Data5,3877,,H,,,,m/s,,,,zero,Data3,Test Data 59,59
A748970,506,12557412,82,,,POINT,974011,,Data9,Data3,,1,Data4,4251,,,,,,m/s,,,,two,Data1,Test Data 63,5
A3536652,176,27453062,104,,,POINT,508573,,Data8,Data9,,1,Data4,6407,,H,0,,,m/s,,,,three,Data7,Test Data 59,55
A4250028,134,49720509,200,,,POINT,517680,,Data4,Data4,,1,Data4,3749,,,6001,,,m/s,,,,seven,Data7,Test Data 96,72
A4818886,42,44822006,105,,,POINT,527155,,Data8,Data8,,,Data5,8565,,H,,,,m/s,,,,zero,Data1,Test Data 52,34
