ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A9301668,276,32115340,230,,,POINT,902861,,Data1,Data5,,,Data7,9758,,,UNSPECIFIED,,,m/s,,,,,Data4,Test Data 11,54
A579519,250,60700087,161,,,POINT,423088,,Data3,Data9,,1,Data6,9563,,,UNSPECIFIED,,,m/s,,,,,Data8,Test Data 79,24
A334880,387,87325644,51,,,POINT,875494,,Data8,Data6,CYCLE,1,Data1,459,,H,0,,,m/s,,,,one,Data7,Test Data 48,71
A3923464,512,26698813,75,,,POINT,788632,,Data8,Data9,CYCLE,1,Data4,1858,,H,9001,,,m/s,,,,,Data3,Test Data 78,61
A2541807,345,85286382,199,,,POINT,687977,,Data5,Data2,,1,Data7,3335,,,,,,m/s,,,,four,Data5,Test Data 62,44
A5319200,681,12039282,56,,,POINT,268776,,Data2,Data8,CYCLE,1,Data9,5594,,,UNSPECIFIED,,,m/s,,,,two,Data8,Test Data 80,55
A4409193,131,70743014,162,,,POINT,386227,,Data5,Data9,,1,Data1,5447,,,9001,,,m/s,,,,,Data1,Test Data 17,14
A7637228,530,61434541,137,,,POINT,787609,,Data2,Data5,CYCLE,,Data8,8956,,H,6001,,,m/s,,,,two,Data5,Test Data 16,2
A765991,533,40299046,232,,,POINT,475806,,Data2,Data7,,1,Data7,3681,,,0,,,m/s,,,,six,Data9,Test Data 84,31
A1628845,872,18736762,238,,,POINT,550825,,Data4,Data4,,,Data5,4890,,,9001,,,m/s,,,,,Data9,Test Data 21,43
A6208125,514,74026811,87,,,POINT,346534,,Data5,Data1,CYCLE,1,Data2,7653,,,0,,,m/s,,,,zero,Data6,Test Data 23,33
A9452063,266,40712038,150,,,POINT,254995,,Data3,Data9,,,Data4,1656,,H,6001,,,m/s,,,,four,Data8,Test Data 8,18
A4894253,730,30515489,38,,,POINT,258203,,Data5,Data5,,1,Data8,2793,,,UNSPECIFIED,,,m/s,,,,,Data9,Test Data 4,97
A5817931,31,80499513,151,,,POINT,486348,,Data7,Data2,,1,Data6,5720,,,,,,m/s,,,,four,Data6,Test Data 46,66
A3064019,132,27666969,115,,,POINT,432834,,Data1,Data5,,,Data3,973,,,9001,,,m/s,,,,one,Data6,Test Data 76,27
A2126558,157,61402935,61,,,POINT,674150,,Data9,Data6,,,Data1,8694,,H,UNSPECIFIED,,,m/s,,,,three,Data3,Test Data 84,78
A2717652,163,18822841,118,,,POINT,480419,,Data4,Data4,,,Data9,8043,,,,,,m/s,,,,five,Data8,Test Data 44,77
A6585608,829,565800,192,,,POINT,984991,,Data4,Data1,,1,Data5,1917,,H,,,,m/s,,,,one,Data5,Test Data 13,28
A6353292,375,58707825,164,,,POINT,108005,,Data9,Data9,CYCLE,1,Data6,2034,,H,UNSPECIFIED,,,m/s,,,,four,Data9,Test Data 18,4
A688529,53,71783407,81,,,POINT,905053,,Data1,Data1,,1,Data4,5052,,,,,,m/s,,,,five,Data3,Test Data 68,91
