ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A5510682,783,8228994,166,,,POINT,827069,,Data5,Data2,,,Data8,911,,,0,,,m/s,,,,,Data3,Test Data 70,16
A2689981,651,35034565,26,,,POINT,999742,,Data4,Data3,,1,Data2,4202,,,9001,,,m/s,,,,two,Data2,Test Data 95,25
A8241510,561,7243420,96,,,POINT,863377,,Data1,Data9,,,Data5,5557,,H,,,,m/s,,,,,Data5,Test Data 10,64
A7971339,152,11096814,143,,,POINT,389597,,Data3,Data7,CYCLE,1,Data8,1760,,H,,,,m/s,,,,three,Data7,Test Data 68,36
A8069695,796,89317901,97,,,POINT,132665,,Data5,Data2,,,Data4,5658,,H,0,,,m/s,,,,five,Data9,Test Data 40,100
A8302727,391,77250099,71,,,POINT,627728,,Data8,Data1,,1,Data8,1021,,H,0,,,m/s,,,,three,Data5,Test Data 15,40
A5536395,767,34773042,16,,,POINT,648272,,Data9,Data2,,,Data4,7843,,H,0,,,m/s,,,,six,Data2,Test Data 30,23
A5376651,447,42998756,246,,,POINT,985060,,Data2,Data8,,1,Data1,5123,,H,UNSPECIFIED,,,m/s,,,,six,Data4,Test Data 84,37
A1448424,12,28257925,43,,,POINT,594693,,Data4,Data2,CYCLE,,Data8,8109,,,6001,,,m/s,,,,seven,Data8,Test Data 96,83
A2388514,217,64389121,23,,,POINT,122473,,Data7,Data2,,1,Data4,1277,,,UNSPECIFIED,,,m/s,,,,five,Data4,Test Data 93,83
A6486020,990,49737274,141,,,POINT,685861,,Data4,Data5,CYCLE,1,Data5,5658,,,0,,,m/s,,,,zero,Data7,Test Data 35,68
A9518783,666,44126675,97,,,POINT,407839,,Data2,Data3,CYCLE,,Data2,9633,,,UNSPECIFIED,,,m/s,,,,six,Data7,Test Data 94,42
A2103284,318,9336466,100,,,POINT,644828,,Data4,Data7,,1,Data4,6914,,,9001,,,m/s,,,,zero,Data1,Test Data 51,65
A5160342,172,67437070,221,,,POINT,772778,,Data6,Data3,,1,Data2,9413,,,0,,,m/s,,,,,Data7,Test Data 86,18
A4904581,714,96125509,182,,,POINT,105041,,Data8,Data7,CYCLE,1,Data3,9803,,,0,,,m/s,,,,zero,Data6,Test Data 93,95
A540684,473,85564544,59,,,POINT,572660,,Data8,Data1,,1,Data8,6325,,H,,,,m/s,,,,zero,Data2,Test Data 79,77
A6557312,537,24108730,197,,,POINT,79530,,Data2,Data8,CYCLE,1,Data2,9886,,,9001,,,m/s,,,,one,Data1,Test Data 25,54
A5897129,981,20669136,170,,,POINT,641633,,Data9,Data3,CYCLE,,Data7,7379,,,,,,m/s,,,,,Data2,Test Data 34,47
A972475,54,43784028,29,,,POINT,831471,,Data8,Data7,CYCLE,,Data1,1257,,H,9001,,,m/s,,,,,Data1,Test Data 49,90
A8965835,295,98944429,114,,,POINT,678378,,Data8,Data4,,,Data8,3718,,H,UNSPECIFIED,,,m/s,,,,,Data4,Test Data 2,43
A9532735,32,41339617,156,,,POINT,870325,,Data4,Data9,,,Data2,9842,,,9001,,,m/s,,,,seven,Data3,Test Data 8,39
A9269692,667,43431140,124,,,POINT,677573,,Data9,Data1,,1,Data6,2058,,,,,,m/s,,,,one,Data3,Test Data 6,95
A2646657,436,98959255,122,,,POINT,910479,,Data4,Data8,,,Data3,4911,,,UNSPECIFIED,,,m/s,,,,three,Data2,Test Data 96,83
A4422700,46,24813435,138,,,POINT,147803,,Data9,Data9,,,Data6,5945,,H,9001,,,m/s,,,,,Data5,Test Data 8,39
A326065,992,22955564,178,,,POINT,512920,,Data2,Data6,,,Data6,6069,,,9001,,,m/s,,,,zero,Data3,Test Data 55,89
A6093893,638,58942553,101,,,POINT,255049,,Data1,Data2,CYCLE,1,Data7,4680,,,,,,m/s,,,,seven,Data1,Test Data 89,63
A1711603,404,90132029,119,,,POINT,976856,,Data4,Data4,,1,Data4,5993,,,UNSPECIFIED,,,m/s,,,,seven,Data9,Test Data 23,31
A194039,149,19199062,9,,,POINT,973385,,Data7,Data3,,1,Data9,9712,,H,UNSPECIFIED,,,m/s,,,,zero,Data7,Test Data 15,6
A4732699,982,53486349,52,,,POINT,21624,,Data8,Data6,CYCLE,1,Data9,970,,H,UNSPECIFIED,,,m/s,,,,,Data7,Test Data 7,5
A8637870,562,55141248,95,,,POINT,542318,,Data3,Data7,CYCLE,1,Data6,7863,,,9001,,,m/s,,,,,Data2,Test Data 85,7
A6381824,234,4780478,64,,,POINT,9453,,Data2,Data5,CYCLE,1,Data9,6704,,H,0,,,m/s,,,,zero,Data6,Test Data 16,100
A4603886,723,4944228,101,,,POINT,751094,,Data5,Data8,,,Data5,492,,H,,,,m/s,,,,,Data5,Test Data 44,43
A2934316,179,11849295,185,,,POINT,655055,,Data8,Data7,CYCLE,1,Data8,9882,,H,,,,m/s,,,,five,Data2,Test Data 73,98
A2400702,963,28995812,32,,,POINT,182781,,Data6,Data5,CYCLE,1,Data8,3016,,,0,,,m/s,,,,seven,Data9,Test Data 12,22
A6092168,370,7206759,136,,,POINT,839253,,Data9,Data7,CYCLE,1,Data6,3385,,,UNSPECIFIED,,,m/s,,,,zero,Data1,Test Data 1,79
A7035171,563,21320609,60,,,POINT,733868,,Data4,Data7,CYCLE,1,Data7,5966,,H,UNSPECIFIED,,,m/s,,,,three,Data4,Test Data 91,52
A6848250,994,38430073,249,,,POINT,97797,,Data8,Data1,,,Data9,8959,,,6001,,,m/s,,,,five,Data9,Test Data 66,9
A3760256,447,94822065,202,,,POINT,973345,,Data1,Data2,,1,Data1,2783,,,,,,m/s,,,,,Data9,Test Data 75,36
A1429996,645,95950144,145,,,POINT,476233,,Data3,Data8,CYCLE,1,Data8,9240,,H,,,,m/s,,,,six,Data4,Test Data 22,79
A5293027,512,69434710,90,,,POINT,195304,,Data4,Data7,CYCLE,,Data1,8739,,,9001,,,m/s,,,,one,Data8,Test Data 57,6
A6794496,614,61755713,106,,,POINT,277089,,Data8,Data1,CYCLE,,Data6,2983,,H,,,,m/s,,,,six,Data3,Test Data 32,15
A6831846,272,15689680,61,,,POINT,812707,,Data9,Data9,,,Data2,3315,,,UNSPECIFIED,,,m/s,,,,one,Data2,Test Data 96,34
A3783723,779,62469006,228,,,POINT,753862,,Data6,Data5,CYCLE,1,Data7,7547,,H,UNSPECIFIED,,,m/s,,,,,Data3,Test Data 90,59
A4865652,487,58223707,100,,,POINT,257750,,Data1,Data9,,,Data8,7933,,,0,,,m/s,,,,,Data5,Test Data 72,1
