ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A2138442,535,65417208,156,,,POINT,347857,,Data5,Data5,,1,Data2,9706,,,,,,m/s,,,,three,Data4,Test Data 57,27
A1046808,789,59836391,79,,,POINT,587470,,Data5,Data2,,1,Data4,8762,,H,6001,,,m/s,,,,two,Data5,Test Data 12,43
A830423,592,32316119,250,,,POINT,131601,,Data9,Data1,,1,Data7,2573,,H,6001,,,m/s,,,,four,Data1,Test Data 53,64
A9555292,536,55820339,34,,,POINT,243011,,Data7,Data5,,1,Data6,7182,,,UNSPECIFIED,,,m/s,,,,six,Data6,Test Data 83,79
A2667731,731,21136759,148,,,POINT,496643,,Data9,Data5,,1,Data9,8272,,,0,,,m/s,,,,zero,Data4,Test Data 41,35
A3551221,345,4985788,228,,,POINT,62495,,Data1,Data1,,1,Data9,9603,,,6001,,,m/s,,,,,Data9,Test Data 53,93
A4597343,531,26925981,153,,,POINT,81260,,Data4,Data9,,1,Data7,389,,,,,,m/s,,,,,Data7,Test Data 33,8
A6940952,528,25779458,73,,,POINT,708359,,Data7,Data4,,,Data4,8014,,H,UNSPECIFIED,,,m/s,,,,six,Data7,Test Data 46,7
A5874964,113,64491955,44,,,POINT,344725,,Data1,Data4,,1,Data3,4507,,H,0,,,m/s,,,,five,Data6,Test Data 89,81
A8777125,863,47202084,12,,,POINT,333730,,Data9,Data9,,,Data1,2037,,,9001,,,m/s,,,,two,Data7,Test Data 87,51
A8589045,519,28394326,198,,,POINT,215509,,Data6,Data1,,,Data3,9505,,,UNSPECIFIED,,,m/s,,,,,Data2,Test Data 3,27
A6491324,737,62598468,158,,,POINT,880749,,Data7,Data6,,1,Data7,4565,,H,0,,,m/s,,,,,Data8,Test Data 85,71
A1924396,700,69203142,218,,,POINT,800994,,Data5,Data3,,,Data6,5216,,H,0,,,m/s,,,,two,Data6,Test Data 59,62
A9253957,678,82001006,238,,,POINT,883080,,Data1,Data5,CYCLE,,Data2,4719,,,UNSPECIFIED,,,m/s,,,,five,Data2,Test Data 0,12
A1103065,368,428579,111,,,POINT,226699,,Data7,Data3,,1,Data8,9611,,,6001,,,m/s,,,,,Data2,Test Data 76,64
A9357477,460,65821523,158,,,POINT,355784,,Data7,Data5,,,Data8,8075,,,,,,m/s,,,,,Data1,Test Data 4,12
A6726180,375,30082461,70,,,POINT,567059,,Data8,Data9,CYCLE,1,Data8,7567,,H,,,,m/s,,,,,Data3,Test Data 59,18
A2757270,681,77817394,128,,,POINT,379038,,Data8,Data6,CYCLE,1,Data1,8071,,,9001,,,m/s,,,,six,Data5,Test Data 18,9
A4072883,178,73033977,195,,,POINT,239194,,Data4,Data4,CYCLE,1,Data6,2844,,,UNSPECIFIED,,,m/s,,,,two,Data8,Test Data 85,52
A4686266,459,65814238,196,,,POINT,889790,,Data1,Data4,,1,Data5,8510,,H,UNSPECIFIED,,,m/s,,,,two,Data6,Test Data 98,90
A4869352,679,11190324,30,,,POINT,266235,,Data9,Data9,CYCLE,,Data2,5012,,H,,,,m/s,,,,seven,Data9,Test Data 56,91
A648248,794,37319865,201,,,POINT,90492,,Data1,Data7,,1,Data6,4811,,H,6001,,,m/s,,,,two,Data6,Test Data 12,52
A3906966,650,88521510,170,,,POINT,915123,,Data9,Data7,CYCLE,1,Data5,1495,,H,6001,,,m/s,,,,,Data8,Test Data 4,69
A718685,725,1077858,192,,,POINT,345038,,Data5,Data5,,,Data5,7030,,,9001,,,m/s,,,,,Data7,Test Data 35,56
A607995,253,47465893,47,,,POINT,193046,,Data9,Data4,,1,Data7,1756,,,,,,m/s,,,,six,Data3,Test Data 52,89
A9097481,665,89755374,168,,,POINT,799803,,Data3,Data5,,,Data4,9742,,H,9001,,,m/s,,,,six,Data3,Test Data 53,77
A508268,882,86498829,246,,,POINT,823772,,Data5,Data1,CYCLE,,Data3,1442,,H,9001,,,m/s,,,,,Data9,Test Data 44,56
A7855462,489,74324796,161,,,POINT,841220,,Data1,Data3,CYCLE,,Data9,7817,,H,,,,m/s,,,,,Data1,Test Data 41,29
A4813711,129,26721984,18,,,POINT,943322,,Data5,Data3,,,Data7,7300,,,UNSPECIFIED,,,m/s,,,,zero,Data8,Test Data 63,17
A3723910,438,51123201,117,,,POINT,396964,,Data8,Data3,,1,Data1,7289,,H,6001,,,m/s,,,,zero,Data4,Test Data 51,98
A3211722,741,56769297,122,,,POINT,225633,,Data7,Data6,,1,Data2,4875,,,6001,,,m/s,,,,,Data7,Test Data 65,21
A6373519,942,32896092,147,,,POINT,897684,,Data8,Data6,,1,Data4,3152,,H,,,,m/s,,,,,Data6,Test Data 10,56
A1689148,8,14501889,31,,,POINT,197003,,Data8,Data5,,1,Data7,7429,,,UNSPECIFIED,,,m/s,,,,six,Data3,Test Data 80,91
A8096917,962,38161541,123,,,POINT,154627,,Data6,Data9,,,Data6,5720,,,9001,,,m/s,,,,,Data7,Test Data 92,89
A4321509,190,381246,150,,,POINT,266203,,Data3,Data1,,,Data2,799,,,6001,,,m/s,,,,two,Data1,Test Data 49,44
A3117763,320,19652731,56,,,POINT,879734,,Data9,Data6,,,Data7,7014,,,,,,m/s,,,,four,Data7,Test Data 33,53
A1592610,614,12889790,164,,,POINT,142406,,Data3,Data3,CYCLE,1,Data6,4168,,,,,,m/s,,,,three,Data9,Test Data 85,21
A1560788,300,78205296,178,,,POINT,968630,,Data8,Data3,CYCLE,1,Data4,2495,,H,,,,m/s,,,,seven,Data7,Test Data 6,12
A1844392,776,94039381,203,,,POINT,267234,,Data3,Data7,,,Data7,4668,,H,6001,,,m/s,,,,five,Data4,Test Data 79,83
A2181329,50,20038011,201,,,POINT,833374,,Data5,Data1,,,Data3,1426,,,UNSPECIFIED,,,m/s,,,,four,Data4,Test Data 52,77
A8007804,834,47308860,165,,,POINT,147963,,Data4,Data6,,,Data5,4827,,,6001,,,m/s,,,,six,Data8,Test Data 97,3
A4400005,961,32470616,36,,,POINT,59707,,Data4,Data9,,,Data3,2514,,H,,,,m/s,,,,three,Data8,Test Data 44,24
A1664074,70,63588298,48,,,POINT,570926,,Data9,Data3,,1,Data6,245,,,6001,,,m/s,,,,two,Data9,Test Data 93,100
A5901157,852,77554498,8,,,POINT,883551,,Data8,Data9,CYCLE,1,Data4,3676,,,9001,,,m/s,,,,six,Data4,Test Data 37,36
A1032236,254,47721625,74,,,POINT,262636,,Data2,Data8,,,Data2,1042,,H,,,,m/s,,,,zero,Data4,Test Data 39,62
A8901574,585,25120700,103,,,POINT,596206,,Data8,Data6,,,Data7,3756,,H,6001,,,m/s,,,,one,Data6,Test Data 78,31
A3069168,632,32067331,30,,,POINT,852289,,Data4,Data7,CYCLE,,Data1,7129,,,9001,,,m/s,,,,,Data9,Test Data 19,63
A6953621,887,29364153,226,,,POINT,932432,,Data5,Data2,,1,Data9,7251,,H,6001,,,m/s,,,,three,Data2,Test Data 25,78
