ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A1443665,883,95350152,113,,,POINT,831930,,Data7,Data1,CYCLE,,Data8,8261,,H,0,,,m/s,,,,three,Data7,Test Data 8,71
A4494955,343,12966828,77,,,POINT,332953,,Data2,Data3,,1,Data5,7626,,H,0,,,m/s,,,,,Data9,Test Data 82,16
A1711782,600,14579288,159,,,POINT,423836,,Data7,Data9,,1,Data9,1062,,,0,,,m/s,,,,one,Data9,Test Data 38,48
A4819701,965,66923783,35,,,POINT,587332,,Data1,Data2,,1,Data8,5727,,H,,,,m/s,,,,,Data4,Test Data 60,21
A6735412,834,55857251,124,,,POINT,59279,,Data7,Data7,CYCLE,,Data5,7889,,H,0,,,m/s,,,,,Data1,Test Data 66,52
A1041220,223,36580654,66,,,POINT,114932,,Data5,Data4,CYCLE,,Data7,9347,,H,UNSPECIFIED,,,m/s,,,,,Data8,Test Data 85,27
A2607222,660,99422382,110,,,POINT,548004,,Data5,Data7,CYCLE,1,Data3,6340,,,9001,,,m/s,,,,seven,Data6,Test Data 82,61
A8949925,180,59413326,250,,,POINT,35864,,Data4,Data1,CYCLE,,Data7,5315,,,0,,,m/s,,,,four,Data6,Test Data 18,92
A2531269,222,77077627,189,,,POINT,757576,,Data4,Data7,,,Data5,3589,,,9001,,,m/s,,,,zero,Data6,Test Data 29,92
A1188258,292,28205100,132,,,POINT,710257,,Data8,Data4,,1,Data7,367,,H,UNSPECIFIED,,,m/s,,,,six,Data5,Test Data 30,66
A4038647,766,72979365,159,,,POINT,643131,,Data7,Data3,,1,Data6,7967,,H,0,,,m/s,,,,,Data1,Test Data 83,31
A3542622,741,6283592,196,,,POINT,166996,,Data2,Data2,,,Data4,165,,,UNSPECIFIED,,,m/s,,,,four,Data3,Test Data 56,3
A2604744,916,71425771,99,,,POINT,832111,,Data1,Data9,CYCLE,1,Data9,5917,,H,9001,,,m/s,,,,,Data4,Test Data 6,71
A5934604,80,49224491,97,,,POINT,754614,,Data9,Data2,,,Data3,6770,,H,9001,,,m/s,,,,,Data2,Test Data 69,87
A2366346,889,43303661,33,,,POINT,306130,,Data5,Data5,,1,Data3,1748,,,,,,m/s,,,,two,Data8,Test Data 79,98
A7210404,545,7964048,113,,,POINT,481391,,Data1,Data4,CYCLE,1,Data6,7218,,H,6001,,,m/s,,,,,Data2,Test Data 68,14
A2223198,754,90425425,137,,,POINT,745501,,Data1,Data7,,1,Data2,9063,,,9001,,,m/s,,,,,Data9,Test Data 11,25
A4585788,968,20901909,17,,,POINT,187612,,Data8,Data8,,1,Data3,7503,,H,0,,,m/s,,,,two,Data4,Test Data 30,34
A8954344,449,56580038,154,,,POINT,91313,,Data2,Data4,,1,Data2,6060,,H,6001,,,m/s,,,,two,Data5,Test Data 14,48
A8101567,615,48535412,149,,,POINT,437004,,Data9,Data9,,,Data3,2101,,H,9001,,,m/s,,,,,Data9,Test Data 67,68
A1977384,7,32670218,2,,,POINT,437594,,Data8,Data4,,1,Data9,4319,,H,,,,m/s,,,,four,Data1,Test Data 8,98
A4920926,243,1501509,218,,,POINT,680868,,Data4,Data1,CYCLE,,Data3,4622,,H,0,,,m/s,,,,four,Data4,Test Data 3,40
A5607857,775,8500934,146,,,POINT,426549,,Data6,Data2,,,Data7,2244,,H,6001,,,m/s,,,,one,Data4,Test Data 88,25
A246947,63,14822432,201,,,POINT,897784,,Data1,Data8,,,Data2,8103,,,9001,,,m/s,,,,,Data3,Test Data 90,7
A280368,310,78125940,196,,,POINT,912431,,Data3,Data3,,,Data7,6986,,,9001,,,m/s,,,,,Data1,Test Data 2,30
A9551148,894,27824570,1,,,POINT,321139,,Data4,Data3,,1,Data5,9916,,H,,,,m/s,,,,seven,Data9,Test Data 61,79
A2938578,519,45706894,115,,,POINT,924152,,Data9,Data8,CYCLE,1,Data5,5240,,H,UNSPECIFIED,,,m/s,,,,zero,Data6,Test Data 44,79
A8738228,539,40255612,156,,,POINT,137426,,Data7,Data3,,1,Data3,671,,,9001,,,m/s,,,,three,Data7,Test Data 48,86
A7863339,856,39905892,136,,,POINT,33921,,Data2,Data3,,1,Data3,9565,,,9001,,,m/s,,,,two,Data1,Test Data 26,43
A5164116,109,34961608,174,,,POINT,189822,,Data2,Data9,,1,Data3,7997,,,0,,,m/s,,,,one,Data8,Test Data 37,45
A398431,54,77135827,223,,,POINT,530002,,Data4,Data4,,,Data1,6557,,H,,,,m/s,,,,six,Data5,Test Data 19,46
A1611669,764,86915820,195,,,POINT,928412,,Data5,Data6,,1,Data5,4964,,,,,,m/s,,,,zero,Data5,Test Data 45,93
A8104788,178,16850085,107,,,POINT,11617,,Data7,Data5,,1,Data7,9912,,H,6001,,,m/s,,,,zero,Data7,Test Data 18,37
A2644289,706,23740816,234,,,POINT,413006,,Data8,Data8,,1,Data1,5291,,H,6001,,,m/s,,,,,Data3,Test Data 51,28
A7158729,927,13295857,166,,,POINT,998806,,Data3,Data9,CYCLE,1,Data6,9429,,,9001,,,m/s,,,,two,Data6,Test Data 35,21
A749681,895,44293565,5,,,POINT,281460,,Data8,Data4,CYCLE,1,Data3,6753,,H,0,,,m/s,,,,four,Data1,Test Data 43,14
A6577284,32,29045757,41,,,POINT,433789,,Data2,Data1,,1,Data9,3180,,,UNSPECIFIED,,,m/s,,,,one,Data9,Test Data 26,52
A7406792,517,42473483,221,,,POINT,570269,,Data1,Data3,CYCLE,1,Data1,8055,,H,UNSPECIFIED,,,m/s,,,,,Data2,Test Data 96,35
A9544474,746,28731107,135,,,POINT,694048,,Data8,Data5,CYCLE,,Data1,9749,,H,0,,,m/s,,,,one,Data8,Test Data 38,47
A345871,412,29183311,39,,,POINT,437020,,Data8,Data7,CYCLE,,Data9,1116,,,9001,,,m/s,,,,zero,Data8,Test Data 95,1
A9847914,506,15916246,192,,,POINT,842184,,Data6,Data3,CYCLE,,Data6,4308,,H,,,,m/s,,,,,Data3,Test Data 33,60
A3374414,395,21556319,88,,,POINT,365337,,Data9,Data2,,1,Data1,7571,,,9001,,,m/s,,,,two,Data4,Test Data 23,99
A7150550,532,31606219,21,,,POINT,697527,,Data6,Data5,,,Data8,9176,,H,UNSPECIFIED,,,m/s,,,,seven,Data6,Test Data 22,75
A2360732,811,56480316,42,,,POINT,842613,,Data9,Data5,CYCLE,,Data3,6917,,H,,,,m/s,,,,five,Data2,Test Data 12,9
A1878012,801,34918891,163,,,POINT,120886,,Data1,Data6,,1,Data7,9085,,,0,,,m/s,,,,zero,Data8,Test Data 41,52
A4219327,825,2287969,190,,,POINT,453865,,Data6,Data7,,,Data5,824,,,9001,,,m/s,,,,,Data7,Test Data 63,87
A3876721,771,53659626,76,,,POINT,890406,,Data9,Data6,,1,Data4,5384,,H,6001,,,m/s,,,,zero,Data3,Test Data 69,31
A5351337,959,82514116,250,,,POINT,81360,,Data6,Data4,CYCLE,,Data6,6906,,H,0,,,m/s,,,,four,Data9,Test Data 62,12
A7548677,368,22436921,205,,,POINT,143454,,Data8,Data3,,1,Data8,6400,,H,,,,m/s,,,,,Data9,Test Data 41,90
A3566054,264,39325014,129,,,POINT,802488,,Data3,Data7,CYCLE,1,Data8,4813,,,,,,m/s,,,,two,Data8,Test Data 2,92
A7305222,64,44392203,122,,,POINT,805063,,Data6,Data5,CYCLE,1,Data6,696,,H,9001,,,m/s,,,,,Data5,Test Data 38,41
A9768493,389,73497081,209,,,POINT,81768,,Data2,Data5,,1,Data4,208,,H,,,,m/s,,,,,Data3,Test Data 37,74
A7612057,933,83989881,218,,,POINT,159586,,Data7,Data5,CYCLE,,Data6,4283,,H,9001,,,m/s,,,,,Data9,Test Data 55,5
A4971516,16,23855492,160,,,POINT,592271,,Data2,Data5,,,Data7,6457,,H,0,,,m/s,,,,six,Data7,Test Data 27,80
A7398669,597,91736536,131,,,POINT,28532,,Data6,Data3,,,Data3,99,,,,,,m/s,,,,,Data7,Test Data 63,100
