ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A272681,791,52653522,95,,,POINT,158712,,Data9,Data7,,1,Data6,1530,,H,,,,m/s,,,,two,Data5,Test Data 52,26
A3550187,523,7575885,101,,,POINT,207279,,Data5,Data1,,1,Data7,4830,,,0,,,m/s,,,,zero,Data1,Test Data 61,14
A2024291,284,11967509,176,,,POINT,69323,,Data2,Data5,CYCLE,,Data5,1528,,,UNSPECIFIED,,,m/s,,,,,Data6,Test Data 81,15
A1141081,711,29792863,1,,,POINT,485190,,Data2,Data9,,,Data7,2211,,H,UNSPECIFIED,,,m/s,,,,,Data4,Test Data 41,82
A7061270,818,72161382,162,,,POINT,74783,,Data4,Data8,,,Data7,5082,,,,,,m/s,,,,four,Data7,Test Data 72,82
A3800216,298,90136087,57,,,POINT,196913,,Data1,Data4,CYCLE,1,Data1,3893,,H,0,,,m/s,,,,,Data1,Test Data 2,18
A9789509,855,75373796,30,,,POINT,839741,,Data1,Data2,,,Data5,3311,,,,,,m/s,,,,four,Data7,Test Data 66,76
A5185737,613,8497557,132,,,POINT,511358,,Data6,Data1,,1,Data5,8142,,H,UNSPECIFIED,,,m/s,,,,,Data2,Test Data 31,93
A4044965,799,28157553,157,,,POINT,438974,,Data6,Data8,,,Data3,1348,,H,6001,,,m/s,,,,one,Data3,Test Data 15,46
A5476635,877,53209801,88,,,POINT,503013,,Data9,Data5,,,Data4,9469,,H,,,,m/s,,,,,Data8,Test Data 69,32
A7419468,533,6730693,4,,,POINT,662661,,Data1,Data4,,,Data1,2156,,,9001,,,m/s,,,,,Data9,Test Data 32,7
A6151786,291,921063,106,,,POINT,836284,,Data8,Data7,CYCLE,,Data1,5979,,H,,,,m/s,,,,three,Data4,Test Data 25,35
A3587606,194,96340142,218,,,POINT,628470,,Data5,Data9,CYCLE,,Data6,2619,,H,UNSPECIFIED,,,m/s,,,,seven,Data9,Test Data 73,37
A5179498,876,61871833,75,,,POINT,225762,,Data1,Data1,,,Data3,9688,,,,,,m/s,,,,three,Data6,Test Data 25,49
A2924157,873,57201415,87,,,POINT,526489,,Data7,Data3,CYCLE,1,Data9,8502,,,6001,,,m/s,,,,,Data2,Test Data 4,80
A8805317,698,82728737,124,,,POINT,926486,,Data3,Data1,,,Data7,3395,,,,,,m/s,,,,,Data5,Test Data 32,31
A28898,36,22916019,90,,,POINT,558927,,Data2,Data2,,1,Data3,6717,,H,UNSPECIFIED,,,m/s,,,,,Data7,Test Data 6,84
A4488847,357,79725370,142,,,POINT,194906,,Data3,Data6,CYCLE,,Data6,7966,,,,,,m/s,,,,seven,Data9,Test Data 9,53
A7186337,198,3783090,197,,,POINT,499565,,Data3,Data5,,,Data9,1502,,H,,,,m/s,,,,two,Data7,Test Data 32,56
A6848756,753,87677599,143,,,POINT,649192,,Data9,Data8,,,Data3,1356,,,6001,,,m/s,,,,five,Data2,Test Data 76,48
A5866872,949,1553721,115,,,POINT,100617,,Data5,Data1,,1,Data5,2105,,H,,,,m/s,,,,,Data4,Test Data 68,8
A2806114,805,42058499,241,,,POINT,104061,,Data8,Data9,,,Data3,6533,,H,,,,m/s,,,,four,Data8,Test Data 53,20
A3844829,787,87454237,167,,,POINT,558990,,Data8,Data5,,,Data1,6709,,,,,,m/s,,,,one,Data4,Test Data 23,96
A1891513,604,46177057,80,,,POINT,975474,,Data3,Data6,CYCLE,1,Data9,8311,,,6001,,,m/s,,,,one,Data2,Test Data 76,85
