ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A2633189,812,67661765,9,,,POINT,511505,,Data7,Data5,,,Data3,6936,,,,,,m/s,,,,,Data7,Test Data 68,19
A3231748,695,71424437,44,,,POINT,147911,,Data9,Data1,CYCLE,,Data4,2706,,H,UNSPECIFIED,,,m/s,,,,four,Data1,Test Data 27,58
A2638716,117,94895101,45,,,POINT,609518,,Data9,Data6,,,Data2,317,,,,,,m/s,,,,,Data6,Test Data 90,10
A7562828,808,40674740,245,,,POINT,254280,,Data4,Data1,,1,Data9,5789,,H,0,,,m/s,,,,six,Data1,Test Data 89,45
A1950454,843,97911396,123,,,POINT,45723,,Data2,Data6,CYCLE,1,Data8,2611,,,0,,,m/s,,,,,Data7,Test Data 47,61
A4094521,632,43438295,110,,,POINT,787489,,Data6,Data5,CYCLE,1,Data5,2629,,H,,,,m/s,,,,,Data9,Test Data 98,88
A6711251,105,77449279,33,,,POINT,273981,,Data3,Data1,CYCLE,,Data1,5857,,H,,,,m/s,,,,,Data4,Test Data 26,88
A1482576,90,32913336,72,,,POINT,420918,,Data2,Data2,CYCLE,1,Data4,7466,,,9001,,,m/s,,,,six,Data8,Test Data 59,28
A2879430,529,16585982,64,,,POINT,903166,,Data7,Data7,,1,Data7,6715,,,6001,,,m/s,,,,three,Data1,Test Data 98,21
A7700744,64,15091758,167,,,POINT,719165,,Data8,Data8,,,Data5,8495,,H,0,,,m/s,,,,,Data5,Test Data 9,89
A3733345,374,71257696,120,,,POINT,686010,,Data5,Data7,,,Data4,937,,,,,,m/s,,,,one,Data5,Test Data 29,8
A1711296,650,28773715,127,,,POINT,743619,,Data6,Data2,CYCLE,1,Data8,7296,,H,UNSPECIFIED,,,m/s,,,,four,Data5,Test Data 71,53
A9583740,619,61565857,75,,,POINT,278424,,Data6,Data5,,1,Data1,5526,,H,UNSPECIFIED,,,m/s,,,,,Data5,Test Data 41,74
A4876833,251,71918863,79,,,POINT,643062,,Data9,Data6,CYCLE,,Data6,9554,,H,6001,,,m/s,,,,,Data7,Test Data 24,7
A9645891,110,49096553,226,,,POINT,920793,,Data2,Data3,,,Data5,3567,,H,6001,,,m/s,,,,,Data3,Test Data 44,62
A1656201,29,59137539,93,,,POINT,119941,,Data5,Data6,,1,Data5,7536,,H,9001,,,m/s,,,,two,Data1,Test Data 82,1
A5602797,398,4680394,177,,,POINT,467000,,Data9,Data4,,,Data7,1472,,H,,,,m/s,,,,three,Data5,Test Data 14,32
A2306244,325,38207097,199,,,POINT,256608,,Data6,Data8,CYCLE,1,Data6,9878,,,0,,,m/s,,,,,Data2,Test Data 29,7
A2390619,435,54470707,61,,,POINT,797360,,Data6,Data5,CYCLE,1,Data4,4173,,H,,,,m/s,,,,,Data2,Test Data 74,10
A290362,992,43568991,71,,,POINT,447007,,Data4,Data7,,,Data6,8065,,,0,,,m/s,,,,six,Data6,Test Data 85,1
A5755832,107,98524827,246,,,POINT,655290,,Data2,Data6,CYCLE,,Data8,28,,H,9001,,,m/s,,,,,Data4,Test Data 50,5
A353559,891,78044151,125,,,POINT,840465,,Data5,Data4,,,Data1,8976,,H,UNSPECIFIED,,,m/s,,,,four,Data7,Test Data 67,8
A6103017,26,67029716,227,,,POINT,956701,,Data2,Data3,,1,Data7,1823,,H,9001,,,m/s,,,,six,Data3,Test Data 33,49
A7270152,442,93117793,231,,,POINT,818573,,Data2,Data4,,1,Data6,3713,,H,0,,,m/s,,,,,Data2,Test Data 14,56
A2697744,475,51414798,37,,,POINT,754778,,Data1,Data3,,1,Data1,256,,,,,,m/s,,,,zero,Data9,Test Data 10,29
A3515592,144,27603976,30,,,POINT,762235,,Data7,Data6,,,Data2,6167,,,0,,,m/s,,,,six,Data1,Test Data 68,6
A9146638,2,97631747,42,,,POINT,734791,,Data8,Data3,,1,Data4,456,,H,9001,,,m/s,,,,,Data3,Test Data 64,90
A3900710,709,96765014,216,,,POINT,254124,,Data6,Data2,,1,Data8,143,,H,6001,,,m/s,,,,one,Data8,Test Data 54,62
A2157216,364,9179179,219,,,POINT,893949,,Data4,Data3,,,Data5,2022,,,9001,,,m/s,,,,,Data1,Test Data 63,91
A2812916,262,68600912,101,,,POINT,887218,,Data6,Data8,,,Data3,9817,,,UNSPECIFIED,,,m/s,,,,two,Data2,Test Data 21,88
A9712377,917,18456062,31,,,POINT,589111,,Data1,Data7,,,Data5,5245,,H,6001,,,m/s,,,,seven,Data4,Test Data 57,19
A570101,525,12228996,162,,,POINT,585780,,Data6,Data6,CYCLE,1,Data8,395,,,,,,m/s,,,,zero,Data7,Test Data 42,57
A5562801,153,53460813,183,,,POINT,885485,,Data1,Data6,CYCLE,1,Data9,1341,,H,UNSPECIFIED,,,m/s,,,,,Data7,Test Data 92,3
A7170269,800,1955561,213,,,POINT,706437,,Data1,Data1,,,Data2,6891,,H,,,,m/s,,,,seven,Data3,Test Data 48,88
