ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A9178578,268,36914836,132,,,POINT,453790,,Data9,Data6,,,Data1,2098,,H,,,,m/s,,,,two,Data7,Test Data 67,99
A2282133,119,73037879,42,,,POINT,408824,,Data7,Data3,,1,Data6,3944,,,,,,m/s,,,,,Data9,Test Data 65,6
A8905837,93,92178472,238,,,POINT,962770,,Data2,Data6,,,Data3,927,,,9001,,,m/s,,,,,Data8,Test Data 38,81
A2395244,761,8678177,155,,,POINT,428223,,Data6,Data3,,,Data2,9863,,H,,,,m/s,,,,five,Data7,Test Data 8,42
A5848330,521,26093776,129,,,POINT,227932,,Data1,Data4,CYCLE,1,Data6,7920,,H,0,,,m/s,,,,four,Data5,Test Data 11,28
A9379619,252,96347085,69,,,POINT,94296,,Data3,Data4,,1,Data6,9548,,,UNSPECIFIED,,,m/s,,,,seven,Data9,Test Data 74,88
A4894394,870,53416309,30,,,POINT,45887,,Data6,Data8,,1,Data7,1667,,H,9001,,,m/s,,,,,Data1,Test Data 88,90
A789668,707,89886715,123,,,POINT,449142,,Data8,Data7,CYCLE,1,Data3,6957,,H,9001,,,m/s,,,,seven,Data7,Test Data 82,88
A1377342,551,45517116,82,,,POINT,423037,,Data6,Data3,,1,Data2,4256,,,,,,m/s,,,,,Data8,Test Data 51,46
A4907153,57,15317607,47,,,POINT,182178,,Data1,Data7,,1,Data4,9456,,,UNSPECIFIED,,,m/s,,,,,Data7,Test Data 85,4
A1904193,843,81838878,197,,,POINT,351750,,Data4,Data4,CYCLE,1,Data5,2236,,H,9001,,,m/s,,,,three,Data9,Test Data 81,57
A2599061,874,91180502,67,,,POINT,848984,,Data1,Data8,CYCLE,,Data6,1707,,,UNSPECIFIED,,,m/s,,,,three,Data6,Test Data 34,30
A3005619,170,16493291,31,,,POINT,296318,,Data9,Data4,CYCLE,,Data5,5516,,,0,,,m/s,,,,,Data4,Test Data 6,28
A1237788,347,40146734,118,,,POINT,673001,,Data1,Data1,,,Data7,2825,,,0,,,m/s,,,,two,Data5,Test Data 97,88
A7280868,737,38880454,122,,,POINT,592537,,Data5,Data3,,1,Data3,5683,,H,0,,,m/s,,,,one,Data3,Test Data 16,35
A348762,789,13665716,175,,,POINT,842617,,Data1,Data6,CYCLE,1,Data3,1862,,H,0,,,m/s,,,,six,Data7,Test Data 65,39
A1741021,573,637579,137,,,POINT,586240,,Data3,Data2,,,Data5,7333,,H,9001,,,m/s,,,,three,Data4,Test Data 68,83
A6787580,447,90135330,3,,,POINT,491430,,Data3,Data8,CYCLE,,Data8,7231,,,6001,,,m/s,,,,,Data6,Test Data 91,89
A5285163,390,85857783,11,,,POINT,432412,,Data7,Data7,,,Data7,249,,H,6001,,,m/s,,,,,Data3,Test Data 46,20
A935420,472,58936631,93,,,POINT,197743,,Data3,Data6,,1,Data6,6240,,,,,,m/s,,,,,Data8,Test Data 16,24
A5619273,689,40832854,40,,,POINT,836882,,Data2,Data5,,,Data6,8792,,,UNSPECIFIED,,,m/s,,,,two,Data2,Test Data 30,94
A2965775,318,93530524,180,,,POINT,109172,,Data5,Data5,CYCLE,,Data1,6634,,H,UNSPECIFIED,,,m/s,,,,two,Data6,Test Data 67,11
A9720596,922,80429514,97,,,POINT,373966,,Data1,Data3,,,Data7,7641,,H,UNSPECIFIED,,,m/s,,,,zero,Data7,Test Data 50,39
A971313,107,25866207,56,,,POINT,468272,,Data5,Data3,CYCLE,1,Data4,4465,,,UNSPECIFIED,,,m/s,,,,five,Data1,Test Data 54,60
A6983768,477,40205697,78,,,POINT,923649,,Data6,Data9,CYCLE,,Data5,1951,,H,UNSPECIFIED,,,m/s,,,,,Data5,Test Data 75,33
A8852006,59,51963116,210,,,POINT,483307,,Data6,Data1,,,Data4,6757,,H,UNSPECIFIED,,,m/s,,,,seven,Data9,Test Data 27,10
