ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A3461530,643,89840819,101,,,POINT,524875,,Data2,Data5,,1,Data2,7730,,H,6001,,,m/s,,,,,Data9,Test Data 14,6
A5722141,245,33770220,235,,,POINT,897533,,Data8,Data9,,1,Data5,968,,H,0,,,m/s,,,,four,Data6,Test Data 92,77
A2344433,773,9777768,1,,,POINT,172585,,Data8,Data3,,,Data3,7141,,,UNSPECIFIED,,,m/s,,,,six,Data7,Test Data 86,63
A5206888,382,61132695,204,,,POINT,331897,,Data5,Data5,CYCLE,,Data8,1959,,H,6001,,,m/s,,,,four,Data1,Test Data 57,87
A6561862,532,14752451,207,,,POINT,999241,,Data9,Data1,,,Data2,5675,,,0,,,m/s,,,,zero,Data8,Test Data 72,92
A123265,413,75951826,97,,,POINT,420825,,Data9,Data3,,,Data5,2140,,,,,,m/s,,,,five,Data2,Test Data 16,90
A5248285,610,47497780,6,,,POINT,997009,,Data6,Data1,,1,Data6,1121,,H,,,,m/s,,,,zero,Data6,Test Data 72,11
A8846668,295,41083147,192,,,POINT,508966,,Data6,Data8,,1,Data6,3314,,,0,,,m/s,,,,,Data5,Test Data 71,22
A5966232,909,18895005,167,,,POINT,903616,,Data5,Data2,CYCLE,,Data8,4108,,,,,,m/s,,,,six,Data4,Test Data 21,94
A9833702,476,33484079,48,,,POINT,169460,,Data8,Data1,,1,Data7,7267,,,0,,,m/s,,,,six,Data4,Test Data 14,20
A7865102,525,93947021,189,,,POINT,788085,,Data2,Data8,,1,Data8,5530,,,UNSPECIFIED,,,m/s,,,,three,Data9,Test Data 69,33
A596575,487,9716495,82,,,POINT,714349,,Data2,Data6,,1,Data8,4238,,H,6001,,,m/s,,,,three,Data7,Test Data 10,22
A3520497,198,23200130,93,,,POINT,78617,,Data3,Data9,CYCLE,1,Data3,1778,,H,UNSPECIFIED,,,m/s,,,,six,Data2,Test Data 78,40
A1218402,655,97985527,102,,,POINT,724818,,Data4,Data3,,1,Data8,6871,,,9001,,,m/s,,,,,Data2,Test Data 38,51
A455764,861,77718220,42,,,POINT,420254,,Data9,Data9,,1,Data5,8189,,H,0,,,m/s,,,,one,Data4,Test Data 90,37
A9247204,384,16259236,233,,,POINT,200240,,Data3,Data7,,1,Data3,4990,,H,0,,,m/s,,,,,Data6,Test Data 64,4
A2158718,60,56041038,216,,,POINT,442303,,Data6,Data8,CYCLE,,Data9,7606,,,,,,m/s,,,,zero,Data3,Test Data 25,53
A6715717,625,75260808,167,,,POINT,526740,,Data6,Data5,CYCLE,1,Data2,1434,,,0,,,m/s,,,,six,Data1,Test Data 10,81
A4780005,725,39955462,142,,,POINT,554881,,Data1,Data5,,,Data9,7831,,H,9001,,,m/s,,,,,Data2,Test Data 67,61
A2481701,136,9083177,237,,,POINT,825739,,Data5,Data9,,,Data3,5158,,H,9001,,,m/s,,,,,Data3,Test Data 40,68
A5115658,520,42084483,165,,,POINT,231126,,Data8,Data6,,1,Data3,4828,,,,,,m/s,,,,,Data7,Test Data 78,20
A9819283,204,8706520,183,,,POINT,971340,,Data4,Data1,,,Data9,5318,,,,,,m/s,,,,three,Data3,Test Data 97,1
A809674,897,54664211,69,,,POINT,537554,,Data4,Data8,,,Data7,1737,,,0,,,m/s,,,,zero,Data7,Test Data 38,61
A2904681,502,78568203,149,,,POINT,716685,,Data5,Data4,CYCLE,,Data3,7014,,H,,,,m/s,,,,zero,Data2,Test Data 58,6
A5558199,956,46193066,208,,,POINT,259716,,Data1,Data1,CYCLE,1,Data6,290,,,9001,,,m/s,,,,,Data4,Test Data 1,68
A6266189,339,68425868,183,,,POINT,807790,,Data3,Data2,,,Data4,907,,H,,,,m/s,,,,seven,Data9,Test Data 45,76
A6478892,135,67451875,235,,,POINT,694785,,Data8,Data9,,1,Data6,8784,,,UNSPECIFIED,,,m/s,,,,seven,Data4,Test Data 36,27
A2391118,1000,72479037,67,,,POINT,753989,,Data6,Data7,,,Data3,7373,,H,,,,m/s,,,,,Data7,Test Data 0,97
A6320254,812,4239245,106,,,POINT,449539,,Data4,Data9,,1,Data7,54,,H,UNSPECIFIED,,,m/s,,,,zero,Data7,Test Data 77,22
A6554425,274,58711128,245,,,POINT,978406,,Data1,Data1,,1,Data1,235,,H,UNSPECIFIED,,,m/s,,,,four,Data7,Test Data 47,94
A487919,632,79635150,166,,,POINT,962514,,Data4,Data3,,,Data7,5143,,H,,,,m/s,,,,,Data4,Test Data 81,95
A7884494,25,1105972,214,,,POINT,883477,,Data3,Data5,,,Data4,662,,,,,,m/s,,,,one,Data5,Test Data 11,37
