ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A8266029,296,11760362,179,,,POINT,873573,,Data4,Data5,,,Data4,3160,,,9001,,,m/s,,,,,Data1,Test Data 39,32
A1446522,751,44630474,100,,,POINT,585416,,Data3,Data7,,1,Data4,9876,,,UNSPECIFIED,,,m/s,,,,seven,Data5,Test Data 13,14
A6625466,817,66581317,246,,,POINT,334720,,Data6,Data5,CYCLE,,Data9,8060,,H,6001,,,m/s,,,,,Data6,Test Data 19,96
A6595800,263,34823957,245,,,POINT,477472,,Data1,Data8,CYCLE,,Data2,7419,,H,9001,,,m/s,,,,one,Data2,Test Data 6,33
A9280602,888,8383998,69,,,POINT,584250,,Data1,Data6,CYCLE,1,Data9,5427,,,0,,,m/s,,,,,Data7,Test Data 88,15
A99675,560,4987691,55,,,POINT,657984,,Data9,Data5,,,Data7,8738,,,0,,,m/s,,,,three,Data9,Test Data 0,80
A1164093,589,40405938,224,,,POINT,600319,,Data8,Data3,,1,Data5,6319,,H,,,,m/s,,,,,Data3,Test Data 95,29
A3630211,956,8459736,8,,,POINT,660076,,Data6,Data6,CYCLE,,Data4,6034,,H,9001,,,m/s,,,,,Data5,Test Data 69,5
A4586633,195,84700142,207,,,POINT,637332,,Data7,Data8,,,Data2,3257,,H,9001,,,m/s,,,,seven,Data6,Test Data 89,8
A2857550,452,39719585,96,,,POINT,253752,,Data3,Data8,,1,Data7,3733,,,6001,,,m/s,,,,,Data5,Test Data 48,19
A8124571,52,59500351,92,,,POINT,941908,,Data1,Data9,,,Data4,8659,,H,,,,m/s,,,,one,Data6,Test Data 40,54
A7910244,695,74307932,102,,,POINT,896610,,Data1,Data4,CYCLE,,Data9,7113,,H,9001,,,m/s,,,,three,Data4,Test Data 22,75
A8067459,657,12179529,134,,,POINT,590693,,Data1,Data1,CYCLE,,Data8,973,,,9001,,,m/s,,,,,Data9,Test Data 54,87
A1097344,239,37981654,215,,,POINT,435890,,Data7,Data1,CYCLE,,Data1,9930,,,6001,,,m/s,,,,seven,Data5,Test Data 36,61
A1075586,183,40943329,171,,,POINT,61091,,Data3,Data1,,,Data7,7306,,,,,,m/s,,,,,Data8,Test Data 87,49
A3209004,429,83686342,151,,,POINT,158994,,Data4,Data2,,,Data9,7685,,H,UNSPECIFIED,,,m/s,,,,,Data1,Test Data 33,78
A2257494,405,78263008,78,,,POINT,6890,,Data8,Data9,,1,Data8,6841,,,,,,m/s,,,,one,Data8,Test Data 34,91
A7395464,628,79035850,47,,,POINT,792590,,Data1,Data2,,,Data2,1611,,,9001,,,m/s,,,,two,Data9,Test Data 38,97
A8618632,889,39154993,101,,,POINT,651833,,Data8,Data7,,1,Data2,8248,,,0,,,m/s,,,,three,Data8,Test Data 7,59
A1326229,362,47796569,248,,,POINT,683177,,Data8,Data6,,1,Data2,8116,,H,9001,,,m/s,,,,,Data6,Test Data 37,48
A2075404,185,64773402,47,,,POINT,702180,,Data6,Data7,,1,Data6,8499,,,,,,m/s,,,,,Data9,Test Data 48,15
A3967141,290,50233391,192,,,POINT,424440,,Data2,Data6,CYCLE,,Data4,4415,,,6001,,,m/s,,,,,Data3,Test Data 49,56
A9118407,903,50588735,5,,,POINT,525658,,Data6,Data8,,1,Data6,1585,,H,UNSPECIFIED,,,m/s,,,,one,Data7,Test Data 24,36
A7697300,910,54298741,86,,,POINT,719307,,Data2,Data2,,,Data5,8245,,,,,,m/s,,,,two,Data7,Test Data 16,52
A7997895,773,45253962,217,,,POINT,105680,,Data5,Data8,CYCLE,1,Data5,4037,,,6001,,,m/s,,,,,Data4,Test Data 53,16
A6144380,809,10950010,55,,,POINT,659342,,Data9,Data8,CYCLE,1,Data3,1333,,,,,,m/s,,,,,Data3,Test Data 35,3
A3777265,880,11603048,8,,,POINT,978646,,Data8,Data5,,,Data5,4196,,,,,,m/s,,,,two,Data6,Test Data 53,14
A340332,443,25262871,136,,,POINT,199859,,Data1,Data4,,1,Data3,5374,,,6001,,,m/s,,,,,Data5,Test Data 7,57
A813759,273,82000327,212,,,POINT,259071,,Data9,Data1,,1,Data2,4540,,,,,,m/s,,,,seven,Data1,Test Data 88,23
A2754494,245,23838859,158,,,POINT,948482,,Data6,Data3,CYCLE,1,Data2,6614,,,UNSPECIFIED,,,m/s,,,,zero,Data1,Test Data 46,34
