ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A8847086,38,99415631,171,,,POINT,994642,,Data8,Data9,CYCLE,,Data4,7563,,,6001,,,m/s,,,,three,Data8,Test Data 80,9
A2853729,580,84010908,50,,,POINT,369915,,Data6,Data1,,,Data1,4320,,H,6001,,,m/s,,,,one,Data3,Test Data 34,98
A877392,246,64735102,55,,,POINT,665780,,Data5,Data9,,1,Data7,2218,,,6001,,,m/s,,,,,Data8,Test Data 27,36
A1561897,218,34026635,1,,,POINT,171927,,Data2,Data2,,1,Data3,6022,,H,,,,m/s,,,,four,Data8,Test Data 20,85
A4485931,696,41137602,12,,,POINT,624879,,Data4,Data3,,1,Data3,6715,,,UNSPECIFIED,,,m/s,,,,one,Data2,Test Data 63,17
A4062155,919,58379946,240,,,POINT,871822,,Data4,Data7,CYCLE,,Data9,6084,,H,UNSPECIFIED,,,m/s,,,,four,Data5,Test Data 61,31
A4011536,461,29649864,150,,,POINT,654063,,Data2,Data5,,,Data2,4170,,H,UNSPECIFIED,,,m/s,,,,six,Data5,Test Data 37,82
A5385537,722,34320819,122,,,POINT,806691,,Data1,Data7,CYCLE,1,Data7,3299,,,0,,,m/s,,,,,Data4,Test Data 14,40
A8318832,851,23928826,239,,,POINT,593560,,Data8,Data5,,1,Data2,4760,,,,,,m/s,,,,three,Data2,Test Data 59,46
A8493415,792,81929723,80,,,POINT,830080,,Data7,Data7,CYCLE,1,Data1,8555,,H,UNSPECIFIED,,,m/s,,,,six,Data6,Test Data 87,24
A3346355,91,86070037,71,,,POINT,267796,,Data6,Data3,,1,Data7,7972,,,UNSPECIFIED,,,m/s,,,,,Data8,Test Data 30,81
A9223928,581,97703554,202,,,POINT,327219,,Data2,Data2,,1,Data5,3985,,H,9001,,,m/s,,,,zero,Data6,Test Data 93,13
A5254792,454,19182630,9,,,POINT,448247,,Data8,Data1,,1,Data8,5075,,H,6001,,,m/s,,,,four,Data7,Test Data 59,50
A1782401,300,71258405,92,,,POINT,421729,,Data8,Data4,,,Data2,9533,,H,9001,,,m/s,,,,one,Data9,Test Data 83,31
A2895571,837,87562561,4,,,POINT,506344,,Data7,Data3,CYCLE,1,Data2,6992,,,0,,,m/s,,,,,Data9,Test Data 30,23
A6043077,978,6276218,237,,,POINT,463628,,Data2,Data9,CYCLE,1,Data5,7362,,H,0,,,m/s,,,,,Data3,Test Data 30,43
A9407500,870,63863376,75,,,POINT,630981,,Data7,Data4,CYCLE,1,Data7,7027,,,,,,m/s,,,,,Data2,Test Data 53,97
A1557568,81,63352131,233,,,POINT,199841,,Data9,Data2,CYCLE,,Data8,2176,,H,9001,,,m/s,,,,,Data4,Test Data 70,88
A3941889,283,27388456,163,,,POINT,112405,,Data5,Data6,,1,Data6,6132,,,,,,m/s,,,,six,Data6,Test Data 87,71
A8787842,336,39205030,29,,,POINT,720144,,Data6,Data9,CYCLE,,Data7,5705,,H,0,,,m/s,,,,two,Data9,Test Data 94,19
A9739421,287,76706665,212,,,POINT,929575,,Data4,Data4,,1,Data1,665,,,,,,m/s,,,,,Data9,Test Data 25,81
A6059197,982,74469625,11,,,POINT,192866,,Data1,Data6,,1,Data5,2663,,H,UNSPECIFIED,,,m/s,,,,seven,Data3,Test Data 77,94
A4763328,770,57580786,133,,,POINT,17864,,Data4,Data7,,1,Data5,5363,,,6001,,,m/s,,,,one,Data7,Test Data 24,25
A5568982,566,94137779,7,,,POINT,187980,,Data4,Data9,,1,Data9,8269,,,,,,m/s,,,,seven,Data1,Test Data 55,1
A8753487,507,69902081,73,,,POINT,516426,,Data3,Data2,,,Data4,4168,,,0,,,m/s,,,,two,Data6,Test Data 8,6
A428491,798,80041473,166,,,POINT,759778,,Data2,Data8,,,Data1,1522,,H,,,,m/s,,,,five,Data5,Test Data 75,49
A3500673,28,1741295,28,,,POINT,911077,,Data2,Data2,,1,Data8,2195,,,UNSPECIFIED,,,m/s,,,,zero,Data9,Test Data 19,68
A8821434,394,1448764,237,,,POINT,517223,,Data4,Data9,,,Data3,4232,,H,9001,,,m/s,,,,six,Data9,Test Data 2,22
A3910497,416,15477924,66,,,POINT,492434,,Data8,Data8,,1,Data5,4657,,,UNSPECIFIED,,,m/s,,,,,Data5,Test Data 60,72
A7739946,637,51566832,248,,,POINT,258677,,Data1,Data6,CYCLE,1,Data7,1653,,H,,,,m/s,,,,,Data2,Test Data 58,61
A326721,352,76644411,79,,,POINT,925129,,Data2,Data8,,,Data6,7716,,H,UNSPECIFIED,,,m/s,,,,four,Data6,Test Data 52,85
A5568425,718,36692960,121,,,POINT,15290,,Data4,Data3,CYCLE,1,Data2,6033,,,0,,,m/s,,,,,Data1,Test Data 0,19
A5729046,819,45836470,75,,,POINT,482828,,Data1,Data8,CYCLE,1,Data5,8188,,H,0,,,m/s,,,,five,Data2,Test Data 74,4
A337290,659,98383180,123,,,POINT,17164,,Data1,Data9,CYCLE,,Data3,6515,,,UNSPECIFIED,,,m/s,,,,seven,Data2,Test Data 76,95
A3164073,170,38711093,35,,,POINT,589251,,Data2,Data1,,,Data8,3294,,H,6001,,,m/s,,,,seven,Data1,Test Data 55,48
A9562474,800,68805659,118,,,POINT,290476,,Data7,Data7,CYCLE,,Data5,959,,H,,,,m/s,,,,,Data5,Test Data 77,96
A3614960,192,54444940,87,,,POINT,672515,,Data1,Data6,,,Data4,2810,,,,,,m/s,,,,,Data8,Test Data 9,55
A9830956,133,21388366,143,,,POINT,347362,,Data5,Data2,,,Data1,6082,,,6001,,,m/s,,,,,Data1,Test Data 65,46
A7604834,572,28905328,229,,,POINT,810469,,Data9,Data5,,,Data6,9590,,H,0,,,m/s,,,,four,Data8,Test Data 31,51
A984375,9,11946755,48,,,POINT,457783,,Data1,Data9,,1,Data1,9155,,H,9001,,,m/s,,,,,Data5,Test Data 14,27
A4233867,688,65264840,122,,,POINT,429475,,Data2,Data4,,1,Data4,687,,,6001,,,m/s,,,,six,Data2,Test Data 3,16
A55778,605,57770787,244,,,POINT,340614,,Data6,Data2,CYCLE,1,Data9,8413,,H,UNSPECIFIED,,,m/s,,,,six,Data8,Test Data 32,46
A1269051,583,97899080,2,,,POINT,668064,,Data5,Data1,,1,Data4,8767,,,,,,m/s,,,,six,Data9,Test Data 63,14
A1029092,550,61813649,203,,,POINT,999941,,Data2,Data3,,,Data2,856,,,,,,m/s,,,,,Data4,Test Data 22,13
A7982071,649,21857113,143,,,POINT,21208,,Data5,Data7,CYCLE,1,Data7,5000,,H,0,,,m/s,,,,seven,Data7,Test Data 56,81
A6050116,470,91263424,238,,,POINT,458076,,Data2,Data9,,1,Data3,2793,,,9001,,,m/s,,,,three,Data5,Test Data 42,69
A2166000,84,35935422,28,,,POINT,589846,,Data4,Data3,,,Data7,744,,H,,,,m/s,,,,six,Data2,Test Data 81,56
A4723086,998,9954865,167,,,POINT,258666,,Data4,Data6,,,Data4,7307,,H,,,,m/s,,,,seven,Data2,Test Data 47,84
A7541941,716,97344761,173,,,POINT,968976,,Data8,Data4,,,Data5,4830,,,,,,m/s,,,,,Data3,Test Data 49,32
A7657783,824,58374791,121,,,POINT,910403,,Data6,Data1,,1,Data6,7487,,,9001,,,m/s,,,,five,Data9,Test Data 96,41
A1277103,303,12921326,88,,,POINT,179853,,Data6,Data3,,,Data5,7919,,H,0,,,m/s,,,,seven,Data5,Test Data 65,97
A5559301,705,15450284,182,,,POINT,37137,,Data6,Data3,CYCLE,1,Data9,9857,,,0,,,m/s,,,,six,Data4,Test Data 49,14
A6561136,614,31543664,236,,,POINT,970368,,Data4,Data2,,,Data6,7286,,H,UNSPECIFIED,,,m/s,,,,two,Data3,Test Data 79,65
A3644535,720,93552973,220,,,POINT,335406,,Data9,Data3,,1,Data3,2560,,,,,,m/s,,,,,Data1,Test Data 3,21
A2218897,821,52536328,192,,,POINT,319040,,Data3,Data5,,1,Data9,9367,,H,,,,m/s,,,,seven,Data1,Test Data 98,54
A2605700,753,93353399,32,,,POINT,437102,,Data4,Data8,CYCLE,,Data7,9239,,,0,,,m/s,,,,five,Data3,Test Data 61,82
A8831984,675,77189327,139,,,POINT,268968,,Data5,Data5,,1,Data4,7840,,H,,,,m/s,,,,six,Data4,Test Data 39,48
A8498399,882,57562601,42,,,POINT,300958,,Data9,Data2,,,Data9,5721,,,6001,,,m/s,,,,,Data9,Test Data 95,5
A9297394,813,81491096,239,,,POINT,279297,,Data5,Data5,,,Data2,9041,,H,6001,,,m/s,,,,,Data2,Test Data 24,65
A3756734,270,62994138,225,,,POINT,154445,,Data1,Data9,,1,Data8,2596,,,9001,,,m/s,,,,one,Data5,Test Data 14,26
A945274,961,86808806,49,,,POINT,279984,,Data6,Data7,,,Data6,6012,,,,,,m/s,,,,five,Data3,Test Data 28,54
A832280,929,38978381,235,,,POINT,745977,,Data4,Data4,,1,Data8,9819,,,9001,,,m/s,,,,six,Data5,Test Data 37,67
A475790,711,82599589,184,,,POINT,459224,,Data1,Data9,,1,Data1,2810,,H,UNSPECIFIED,,,m/s,,,,three,Data2,Test Data 71,62
A2202955,195,74864820,66,,,POINT,550070,,Data8,Data5,CYCLE,1,Data7,6207,,H,6001,,,m/s,,,,five,Data8,Test Data 80,98
A8828056,596,11377913,153,,,POINT,197768,,Data9,Data4,,,Data4,1020,,H,9001,,,m/s,,,,zero,Data7,Test Data 81,22
A4273975,506,65669606,249,,,POINT,799869,,Data2,Data8,,,Data5,5196,,,,,,m/s,,,,four,Data7,Test Data 45,17
A679825,776,87010887,193,,,POINT,200822,,Data8,Data5,,,Data7,5235,,,6001,,,m/s,,,,two,Data3,Test Data 48,9
A6717937,56,97305787,68,,,POINT,507880,,Data9,Data9,,1,Data5,5885,,,6001,,,m/s,,,,,Data6,Test Data 13,88
A7627110,495,48164812,53,,,POINT,913140,,Data6,Data7,,,Data2,5535,,H,0,,,m/s,,,,seven,Data5,Test Data 59,72
A1376522,707,4877000,88,,,POINT,989535,,Data1,Data8,CYCLE,1,Data1,8511,,H,9001,,,m/s,,,,,Data6,Test Data 4,18
A61471,572,9639412,31,,,POINT,555050,,Data7,Data1,,,Data1,3424,,H,UNSPECIFIED,,,m/s,,,,four,Data5,Test Data 5,21
A981132,274,60662745,142,,,POINT,235452,,Data7,Data6,,1,Data1,1446,,H,6001,,,m/s,,,,,Data6,Test Data 77,12
A5247149,360,60353792,205,,,POINT,337616,,Data4,Data1,,,Data1,9083,,,9001,,,m/s,,,,,Data8,Test Data 5,1
