ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A1984849,816,96113469,9,,,POINT,403862,,Data3,Data9,,1,Data7,9985,,H,,,,m/s,,,,five,Data3,Test Data 87,34
A9806373,996,73088760,85,,,POINT,886666,,Data6,Data3,,1,Data7,8814,,,6001,,,m/s,,,,seven,Data4,Test Data 45,16
A5680669,305,51332993,81,,,POINT,310209,,Data7,Data8,,,Data9,4394,,,9001,,,m/s,,,,,Data2,Test Data 54,44
A5488336,605,86788388,57,,,POINT,734263,,Data3,Data6,CYCLE,,Data9,890,,,,,,m/s,,,,one,Data4,Test Data 65,88
A1997152,343,33321763,145,,,POINT,827083,,Data2,Data1,,1,Data6,991,,,0,,,m/s,,,,,Data4,Test Data 24,66
A936492,152,97363527,174,,,POINT,228338,,Data2,Data4,,1,Data5,6620,,H,6001,,,m/s,,,,,Data4,Test Data 60,40
A9108259,604,222579,131,,,POINT,38084,,Data5,Data8,,,Data8,4108,,,UNSPECIFIED,,,m/s,,,,,Data5,Test Data 5,15
A5551656,674,62049786,221,,,POINT,714641,,Data7,Data2,,1,Data6,2464,,,,,,m/s,,,,six,Data1,Test Data 67,89
A8026264,149,15018587,153,,,POINT,571984,,Data1,Data1,,1,Data7,127,,H,UNSPECIFIED,,,m/s,,,,one,Data6,Test Data 41,92
A9697740,269,64507886,29,,,POINT,497132,,Data7,Data6,,,Data2,1232,,,UNSPECIFIED,,,m/s,,,,three,Data4,Test Data 66,47
A731940,56,88903991,28,,,POINT,257613,,Data4,Data8,CYCLE,1,Data6,4883,,H,9001,,,m/s,,,,one,Data5,Test Data 84,4
A9568409,174,58956750,16,,,POINT,436139,,Data7,Data2,,1,Data1,1231,,H,UNSPECIFIED,,,m/s,,,,,Data4,Test Data 59,38
A8114083,45,20173708,165,,,POINT,263068,,Data7,Data1,,1,Data5,2123,,,6001,,,m/s,,,,two,Data8,Test Data 29,89
A446239,265,72000361,221,,,POINT,746502,,Data6,Data2,CYCLE,1,Data2,3987,,,,,,m/s,,,,,Data4,Test Data 60,79
A1682580,71,42114545,225,,,POINT,730332,,Data9,Data4,,1,Data8,7923,,,UNSPECIFIED,,,m/s,,,,one,Data7,Test Data 98,87
A6435188,195,73388533,21,,,POINT,344650,,Data4,Data7,,1,Data4,2057,,H,,,,m/s,,,,,Data7,Test Data 72,85
A9183507,342,66163822,214,,,POINT,169356,,Data7,Data5,CYCLE,,Data5,8052,,,9001,,,m/s,,,,three,Data1,Test Data 33,77
A8619682,451,92888260,87,,,POINT,742524,,Data4,Data2,CYCLE,,Data6,8912,,H,0,,,m/s,,,,four,Data5,Test Data 40,66
A3042899,188,42915994,157,,,POINT,309778,,Data2,Data7,,,Data9,6829,,,0,,,m/s,,,,three,Data2,Test Data 91,95
A3181994,197,21174435,78,,,POINT,301952,,Data4,Data6,CYCLE,1,Data2,7637,,H,9001,,,m/s,,,,one,Data9,Test Data 96,2
A1906937,786,52555788,47,,,POINT,199552,,Data2,Data1,CYCLE,1,Data1,3086,,H,9001,,,m/s,,,,,Data3,Test Data 32,46
A8055041,348,49590883,9,,,POINT,267833,,Data6,Data2,,,Data7,3120,,H,9001,,,m/s,,,,six,Data2,Test Data 65,32
