ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A3011362,948,86239655,86,,,POINT,423378,,Data7,Data2,CYCLE,1,Data1,4008,,H,,,,m/s,,,,three,Data5,Test Data 20,83
A8435455,690,47828686,54,,,POINT,31898,,Data2,Data7,CYCLE,,Data1,8257,,,6001,,,m/s,,,,zero,Data5,Test Data 95,1
A6503773,688,44262136,142,,,POINT,73816,,Data9,Data1,CYCLE,1,Data2,1232,,H,9001,,,m/s,,,,four,Data9,Test Data 97,14
A3398758,65,40191160,105,,,POINT,980060,,Data2,Data8,,,Data6,3274,,H,UNSPECIFIED,,,m/s,,,,zero,Data6,Test Data 96,17
A5640067,60,6386342,61,,,POINT,244470,,Data1,Data2,CYCLE,1,Data5,7485,,,0,,,m/s,,,,,Data9,Test Data 95,1
A4858596,95,2794456,219,,,POINT,175915,,Data6,Data6,,1,Data5,207,,,0,,,m/s,,,,six,Data6,Test Data 75,73
A9009685,566,76852395,170,,,POINT,589495,,Data9,Data3,CYCLE,1,Data3,4752,,H,,,,m/s,,,,zero,Data3,Test Data 37,32
A8811650,172,24291288,56,,,POINT,907913,,Data6,Data8,CYCLE,,Data8,1364,,H,9001,,,m/s,,,,five,Data4,Test Data 82,57
A8752524,860,55495983,187,,,POINT,351159,,Data8,Data4,,1,Data6,2768,,H,,,,m/s,,,,,Data1,Test Data 20,93
A4819087,609,17862625,45,,,POINT,620813,,Data9,Data5,,1,Data3,70,,,,,,m/s,,,,two,Data4,Test Data 58,53
A2756958,167,42856524,11,,,POINT,615846,,Data6,Data5,,1,Data7,5330,,H,9001,,,m/s,,,,,Data1,Test Data 8,35
A2989755,597,25924847,108,,,POINT,634506,,Data8,Data6,CYCLE,,Data1,1516,,,,,,m/s,,,,,Data4,Test Data 56,76
A9549714,430,83951595,39,,,POINT,839506,,Data7,Data1,,1,Data6,8560,,H,UNSPECIFIED,,,m/s,,,,,Data9,Test Data 54,66
A5265891,135,48094591,69,,,POINT,404454,,Data5,Data4,,1,Data7,1211,,,6001,,,m/s,,,,two,Data6,Test Data 9,27
A3907422,814,57471587,96,,,POINT,964424,,Data9,Data6,,,Data3,2016,,,UNSPECIFIED,,,m/s,,,,zero,Data1,Test Data 10,33
A5199692,658,7037499,147,,,POINT,180322,,Data8,Data4,CYCLE,1,Data5,9397,,H,9001,,,m/s,,,,,Data2,Test Data 65,25
A267481,586,64900380,49,,,POINT,454631,,Data7,Data4,,1,Data4,9801,,,0,,,m/s,,,,,Data4,Test Data 50,64
A333496,769,5658099,121,,,POINT,317442,,Data2,Data9,,1,Data2,9713,,,9001,,,m/s,,,,six,Data3,Test Data 88,98
A1598679,951,12552348,171,,,POINT,882846,,Data1,Data6,,1,Data2,3200,,,,,,m/s,,,,six,Data1,Test Data 38,34
A7061081,360,98332702,149,,,POINT,147146,,Data4,Data5,CYCLE,,Data5,1569,,H,0,,,m/s,,,,five,Data5,Test Data 30,42
A2132315,443,39444941,237,,,POINT,892745,,Data4,Data6,,1,Data6,1710,,,,,,m/s,,,,,Data4,Test Data 6,39
A9880283,964,38523172,130,,,POINT,414853,,Data3,Data2,CYCLE,1,Data8,2501,,,9001,,,m/s,,,,one,Data3,Test Data 13,36
A3077106,277,40846849,17,,,POINT,736696,,Data8,Data6,CYCLE,,Data8,5292,,H,0,,,m/s,,,,four,Data6,Test Data 71,66
A6582083,22,78548184,90,,,POINT,872289,,Data3,Data6,,1,Data5,9427,,,,,,m/s,,,,five,Data6,Test Data 97,38
A7001577,889,20442859,156,,,POINT,484117,,Data6,Data4,,,Data7,9497,,H,0,,,m/s,,,,five,Data4,Test Data 16,1
A2578378,563,63674068,8,,,POINT,935034,,Data1,Data8,,1,Data6,6572,,,6001,,,m/s,,,,,Data7,Test Data 22,74
A5551541,682,85064669,119,,,POINT,851932,,Data2,Data9,,,Data7,508,,H,UNSPECIFIED,,,m/s,,,,,Data6,Test Data 33,81
A6312409,547,51450352,116,,,POINT,645882,,Data5,Data5,CYCLE,,Data7,2365,,H,,,,m/s,,,,zero,Data8,Test Data 43,62
A615801,227,65941391,80,,,POINT,543186,,Data6,Data3,,1,Data1,1446,,,,,,m/s,,,,,Data9,Test Data 8,80
A903135,611,46627157,65,,,POINT,937329,,Data2,Data2,,1,Data6,8907,,H,UNSPECIFIED,,,m/s,,,,,Data8,Test Data 24,13
A887406,475,37226144,239,,,POINT,25134,,Data3,Data1,,,Data9,445,,,9001,,,m/s,,,,six,Data6,Test Data 21,46
A8728705,774,9811856,89,,,POINT,417721,,Data2,Data5,CYCLE,1,Data3,6328,,,9001,,,m/s,,,,,Data8,Test Data 73,48
A330948,298,64762122,244,,,POINT,463663,,Data1,Data2,CYCLE,1,Data5,714,,H,0,,,m/s,,,,six,Data8,Test Data 77,14
A7860660,338,12552401,41,,,POINT,861560,,Data4,Data4,,,Data7,9718,,H,0,,,m/s,,,,four,Data1,Test Data 84,71
